personID,personName,birthYear,gender,deathYear
Aaberg_JC,Jens C. Aaberg,1877,M,1970
Adams_SF,Sarah F. Adams,1805,F,1848
Anstice_J1,Joseph Anstice,1808,M,1836
Ashworth_TA1,T. A. Ashworth,1806,M,1884
Astley_CT1,Charles Tamberlane Astley,0,M,0
Bacon_L,Leonard Bacon,1802,M,1881
Baker_HW,Henry Williams Baker,1821,M,1877
Baxter_L,Lydia Baxter,1809,F,1874
Bethune_GW,George W. Bethune,1805,M,1862
Bevan_EF,Emma Frances Bevan,1827,F,1909
Bonar_H,Horatius Bonar,1808,M,1889
Borthwick_JL,Jane L. Borthwick,1813,F,1897
Bremer_F1,Frederica Bremer,1801,F,1865
Bridges_M,Matthew Bridges,1800,M,1894
Brooks_CT,Charles T. Brooks,1813,M,1883
Browning_EB1,Elizabeth Barrett Browning,1809,F,1861
Bulfinch_SG1,Stephen Greenleaf Bulfinch,1809,M,1870
Burgess_G1,George Burgess,1809,M,1866
Burton_JJ1,John Burton,1803,M,1877
Chandler_J,John Chandler,1806,M,1876
Chatfield_AW,Allen W. Chatfield,1808,M,1896
Chorley_HF,Henry F. Chorley,1808,M,1872
Clement_Alexandria,Clement of Alexandria,170,M,215
Coffin_C,Charles Coffin,1676,M,1749
Copeland_WJ,William J. Copeland,1804,M,1885
Crewdson_J,Jane Crewdson,1808,F,1863
Croswell_W1,William Croswell,1804,M,1851
Cruciger_E,Elizabeth Cruciger,1500,F,1535
Darby_JN1,John Nelson Darby,1800,M,1882
Dayman_EA,Edward Arthur Dayman,1807,M,1890
Deck_JG,James G. Deck,1802,M,1884
Doving_C1,Carl Doving,1867,M,1937
Dwight_JS,John S. Dwight,1813,M,1893
Ellerton_J,John Ellerton,1826,M,1893
Elliott_JA,J. A. Elliot,1809,F,1841
Emerson_RW1,Ralph Waldo Emerson,1803,M,1882
Findlater_SB,Sarah B. Findlater,1823,F,1907
Franck_S1,Salomo Franck,1659,M,1725
Furness_WH1,William Henry Furness,1802,M,1896
Gaskell_W,William Gaskell,1805,M,1884
Gerhardt_P,Paul Gerhardt,1607,M,1676
Gregory_Great,Gregory the Great,540,M,604
Gurney_JH,John H. Gurney,1802,M,1862
Hascall_J,Jefferson Hascall,1807,M,1887
Hawkins_E,Ernest Hawkins,1802,M,1868
Heermann_J,Johann Heermann,1585,M,1657
Hews_G,George Hews,1806,M,1873
Holmes_OW,Oliver Wendell Holmes,1809,M,1894
Homburg_EC,Ernst C. Homburg,1605,M,1681
Jacobi_JC,John Christian Jacobi,1670,M,1750
Keble_J,John Keble,1792,M,1866
Kennedy_BH,Benjamin H. Kennedy,1804,M,1889
Landstad_MB,Magnus Brostrup Landstad,1802,M,1880
Layritz_F,Layritz,1808,M,1859
Leeson_JE,Jane Elizabeth Leeson,1807,F,1882
Longfellow_HW,Henry W. Longfellow,1807,M,1882
Luther_M,Martin Luther,1483,M,1546
Mackay_M,Margaret Mackay,1802,F,1887
Martineau_H1,Harriet Martineau,1802,F,1876
Martineau_J1,James Martineau,1805,M,1900
Massie_R,Richard Massie,1800,M,1887
Methodius,Methodius,200,M,311
Meyfart_JM,Johann Meyfart,1590,M,1642
Miles_SE1,Sarah Elizabeth Miles,1807,F,
Mills_E,Elizabeth Mills,1805,F,1829
Morris_GP,George P. Morris,1802,M,1864
Nazianzen_G,Gregory of Nazianzus,329,M,389
Neale_JM,John Mason Neale,1818,M,1866
Nevin_EH1,Edwin Henry Nevin,1814,M,1889
Newman_JH,John Henry Newman,1801,M,1890
Palmer_PW,Phoebe Palmer,1807,F,1874
Palmer_R,Ray Palmer,1808,M,1887
Peters_MB1,Mary Peters,1806,F,1856
Price_CP,Charles P. Price,1920,M,0
Rawson_G,George Rawson,1807,M,1889
Rosenroth_CKv,Christian Knorr von Rosenroth,1636,M,1689
Russell_AT,Arthur T. Russell,1806,M,1874
Scagnelli_PJ,Peter J. Scagnelli,1949,M,0
Schwedler_JC,Johann C. Schwedler,1672,M,1730
Shepherd_AH,Anne H. Shepherd,1809,F,1857
Smith_SF,Samuel Francis Smith,1808,M,1895
Spitta_KJP,Karl Johann Philipp Spitta,1801,M,1859
Stammers_J,Joseph Stammers,1801,M,1885
Sterling_J2,John Sterling,1806,M,1844
Strauss_V,Viktor Strauss,1809,M,1899
Synesius,Synesius of Cyrene,370,M,414
Taylor_J3,John Taylor,1808,M,1887
Taylor_TR,Thos. R. Taylor,1807,M,1835
Tennyson_A,Alfred Tennyson,1809,M,1892
Thilo_V,Valentin Thilo,1607,M,1662
Thring_G,Godfrey Thring,1823,M,1903
Timm_HA,H. A. Timm,1800,M,1866
Trench_RC,Richard Chenevix Trench,1807,M,1886
Vischer_C,C. Vischer,1520,M,1597
Whittier_JG,John Greenleaf Whittier,1807,M,1892
Whittingham_WR,William R. Whittingham,1805,M,1879
Whittle_DW,Daniel W. Whittle,1840,M,1901
Williams_Isaac,Isaac Williams,1802,M,1865
Winkworth_C,Catherine Winkworth,1827,F,1878
WipoofBurgundy1,Wipo of Burgundy,1000,M,1050
Wordsworth_C,Christopher Wordsworth,1807,M,1855
Wreford_JR,John Reynell Wreford,1800,M,1891
