"A few more years shall roll","A Few More Years Shall Roll","O wash me in thy precious blood",Horatius Bonar,,,,a_few_more_years_shall_roll,,,,,,
"A little child may know","","",Jane Elizabeth Leeson,,,,a_little_child_may_know,,,,,,
"A sure stronghold our God is He","A sure stronghold our God is He","",Luther,William Gaskell,,,a_sure_stronghold_our_god_is_he,,,,,,
"A voice upon the midnight air","","",James Martineau,,,,a_voice_upon_the_midnight_air,,,,,,
"Above the clear blue sky","Above the clear blue sky","",John Chandler,,,,above_the_clear_blue_sky,,,,,,
"Again we hail the opening morn","Again we hail the opening morn","",Allen W. Chatfield,Synesius,,,again_we_hail_the_opening_morn,,,,,,
"Ah Jesus, the merit","Ah Jesus, the merit","",Catherine Winkworth,Layritz,,,ah_jesus_the_merit,,,,,,
"All praise to him who built the hills","All praise to Him Who built the hills","",Horatius Bonar,,,,all_praise_to_him_who_built_the_hills,,,,,,
"Alleluia! Alleluia! Hearts to heaven and voices raise","Alleluia! Alleluia!","",Christopher Wordsworth,,,,alleluia_alleluia_hearts_to_heaven_and_v,,,,,,
"Always with us, always with us","","",Horatius Bonar,Edwin H. Nevin,,,always_with_us_always_with_us,,,,,,
"And now again at night","And now again at night","",Allen W. Chatfield,Gregory Nazianzen,,,and_now_again_at_night,,,,,,
"And shall we see thy face","","",John Nelson Darby,,,,and_shall_we_see_thy_face,,,,,,
"Arise, my soul, with rapture rise","","",Samuel Francis Smith,,,,arise_my_soul_with_rapture_rise,,,,,,
"Arise, O Christian people!","Arise, O Christian People","",Valentin Thilo,Arthur T. Russell,,,arise_o_christian_people,,,,,,
"Arm these Thy servants, mighty Lord","","",Christopher Wordsworth,,,,arm_these_thy_soldiers_mighty_lord,,,,,,
"Around the throne of God in heaven","Around the Throne of God in Heaven","singing 'Glory, glory, glory be to God on high'",Anne H. Shepherd,,,,around_the_throne_of_god_in_heaven_thous,,,,,,
"Ask ye what great thing I know","Ask Ye What Great Thing I Know","",Benjamin H. Kennedy,Johann C. Schwedler,,,ask_ye_what_great_thing_i_know,,,,,,
"Asleep in Jesus! blessed sleep!","Asleep in Jesus! blessed sleep!","",Margaret Mackay,,,,asleep_in_jesus_blessed_sleep,,,,,,
"Awake, our lute, the child to sing","Awake, our lute, the child to sing","",Allen W. Chatfield,Synesius,,,awake_our_lute_the_child_to_sing,,,,,,
"Bathed in unfallen sunlight","The City of God","",Horatius Bonar,,,,bathed_in_unfallen_sunlight,,,,,,
"Behold the Lamb of God!","Behold the Lamb of God!","",Matthew Bridges,,,,behold_the_lamb_of_god_o_thou_for_sinner,,,,,,
"Beyond the smiling and the weeping","","",Horatius Bonar,,,,beyond_the_smiling_and_the_weeping,,,,,,
"Blessed night, when first that plain","","",Horatius Bonar,,,,blessed_night_when_first_that_plain,,,,,,
"Blessing and honor and glory and power","Blessing and Honor","",Horatius Bonar,,,,blessing_and_honor_and_glory_and_power,,,,,,
"Blest Spirit, one with God above","","",John Chandler,,,,blest_spirit_one_with_god_above,,,,,,
