HymnalID,HymnalName,AuthorName,PublisherName,City,State,PublicationYear,Notes,Column 9,Column 10,Column 11
AAHH2001,African American Heritage Hymnal,,"GIA Publications, Inc.",Chicago, IL,2001,,
BH1991,Baptist Hymnal 1991,,Convention Press,,,1991,Southern Baptist,
BH2008,Baptist Hymnal 2008,,LifeWay Worship,Nashville, TN,2008,Southern Baptist,
BHPPD866,A Book of Hymns for Public and Private Devotion (15th ed.),,Ticknor and Fields,Boston, MA,1866,Unitarians and Universalists,
CBE,"Chorale Book for England, The",Catherine Winkworth,Christian Classics Ethereal Library,Grand Rapids, MI,1863,Anglican,
CEL,Celebration Hymnal,Tom Fettke,Word Music/Integrity Music,,,1997,,
CH1962,The Children's Hymnbook,Wilma Vander Baan,National Union of Christian Schools,,,1962,,
CH1995,Chalice Hymnal,,Chalice Press,St. Louis, MO,1995,Disciples of Christ,
CH4,"Church Hymnary,  Fourth Edition",John Bell; Stephen Benner,Canterbury Press,Norwich,United Kingdom,2005,Church of Scotland,
CPACC,Common Praise,,Anglican Book Centre,Toronto, Canada,1998,Anglican Church of Canada,
CPAM2000,Common Praise: A new edition of Hymns Ancient and Modern,Henry Chadwick; Stephen T. Benner,Canterbury Press,,,2000,Church of England,
EH1916,The Hymnal: as authorized and approved by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1916,Peter Irvine,Church Pension Fund,New York, NY,1916,(Protestant) Episcopal Church,Has Music
EH1982,Hymnal 1982: according to the use of the Episcopal Church,,Church Hymnal Corp.,New York, NY,1985,Episcopal,
ELH,Evangelical Lutheran Hymnary,,MorningStar Music Publishers Inc.,St. Louis,  MO,1996,Evangelical Lutheran Synod,
FHOP,Favorite Hymns of Praise,,Hope Publishing Company,Wheaton IL,1967,,Has Music
GATHER,Gather Comprehensive,,GIA,Chicago,IL,1994,Roman Catholic Church,
H4Y1966,Hymns for Youth,,William B. Eerdmans Pub. Co.,Grand Rapids, MI,1966,,
HAGA1895,The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.,Rev. Louis F. Benson; William W. Gilchrist,Presbyterian Board of Publication and Sabbath School Work,Philadelphia, PA,1895,Presbyterian Church (U.S.A.); Northern Presbyterian,Has Music
HFLC1974,Hymns for the Living Church,Don Hustad,Hope Publishing Company,Carol Stream, IL,1974,,Has Music
HHD1945,Hymns and Hymnwriters of Denmark,,,,,1945,,
HHOF1980,Hymns of Faith,,Tabernacle Publishing Company,Carol Stream, IL,1980,,Has Music
HPEC1871,Hymnal: according to the use of the Protestant Episcopal Church in the United States of America,Peter Irvine; Claxton, Remsen & Haffelfinger,Philadelphia, PA,1871,(Protestant) Episcopal Church,
HPEC1917,The Church Hymnal: revised and enlarged in accordance with the action of the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892. (Ed. B),Peter Irvine; Rev. Charles L. Hutchins,The Parish Choir,Boston, MA,1898,(Protestant) Episcopal Church,Has Music
HRGC1892,The Hymnal: Revised and Enlarged as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892,William W. Rousseau; John Ireland Tucker,The Century Co.,New York, NY,1894,(Protestant) Episcopal Church,Has Music
HTS2,Hymns of Ter Steegen and Others (Second Series),Frances Bevan,James Nisbet & Co. Limited,London, England,1899,,
LG,Lyra Germanica: The Christian Year,,Christian Classics Ethereal Library,Grand Rapids, MI,1861,,
LSB2006,Lutheran Service Book,,Concordia Publishing House,Saint Louis, MO,2006,Lutheran Church - Missouri Synod,
NCH1929,The New Christian Hymnal,Henry J. Kuiper,William B. Eerdmans Pub. Co.,Grand Rapids, MI,1929,,
PH,Presbyterian Hymnal,,Presbyterian Church USA,,,1990,Presbyterian Church (U.S.A.),
PsH,Psalter Hymnal (Gray),Emily Brink,CRC Publications,Grand Rapids, MI,1987,Christian Reformed Church,Has Music
PWTNC,Praise and Worship (The Nazarene Hymnal),,Nazarene Publishing House,Kansas City, MO,1951,Church of the Nazarene,
RL,Rejoice in the Lord,,Wm. B. Eerdmans Publishing Co.,Grand Rapids,MI,1985,Reformed Church in America,
RN,Renew!,,Hope Publishing,Carol Stream,IL,1995,,Has Music
SFL,Songs for Life,,CRC Publications,Grand Rapids,MI,1995,Christian Reformed Church,
SHEG,Songs and Hymns of the Earliest Greek Christian Poets,,Christian Classics Ethereal Library,Grand Rapids, MI,1876,,
SJ1989,Sing Joyfully,Jack Schrader,Tabernacle Pub. Co.,Carol Stream, IL,1989,,Has Music
TH,Trinity Hymnal,,Great Commission Publications,,,1990,Orthodox Presbyterian Church; Presbyterian Church in America ,
TH1961,Trinity Hymnal,,Orthoodox Presbyterian Church,Philadelphia, PA,1961,Orthodox Presbyterian Church,
TT,Timeless Truths,,http://library.timelesstruths.org/music/,,,2002,,
TWC,"Worshiping Church, The",Donald P. Hustad ,Hope Publishing Company,Carol Stream,IL,1990,,Has Music
UMH,"United Methodist Hymnal, The",,The United Methodist Publishing House,,,1989,United Methodist Church,
UV1901,Uplifted Voices: a 20th century hymn book for sunday-schools and devotional meetings,Adam Geibel; R. Frank Lehman,Adam Geibel Music Co.,Philadelphia, PA,1901,,Has Music
VU1996,Voices United: The Hymn and Worship Book of The United Church of Canada,Leonard Lythgoe; Nancy E. Hardy; Stephen Benner,The United Church Publishing House,Etobicoke, Ontario Canada,1996,The United Church of Canada,
WAR2003,Worship and Rejoice,,Hope Publishing Company,Carol Stream,IL,2001,,Has Music
WASH1957,Worship and Service Hymnal: For Church School and Home,,Hope Publishing Company,Carol Stream, IL,1957,,Has Music
