TH,a_few_more_years_shall_roll,Trinity Hymnal,1990,,"1 A few more years shall roll,

A few more seasons come,

And we shall be with those that rest

Asleep within the tomb:

Then, O my Lord, prepare

My soul for that great day;


Refrain:

O wash me in thy precious blood,

And take my sins away.


2 A few more storms shall beat

On this wild rocky shore,

And we shall be where tempests cease,

And surges swell no more:

Then, O my Lord, prepare

My soul for that calm day; (Refrain)


3 A few more sabbaths here

Shall cheer us on our way,

And we shall reach the endless rest,

Th'eternal sabbath day:

Then, O my Lord, prepare

My soul for that sweet day; (Refrain)


4 'Tis but a little while,

And he shall come again

Who died that we might live, who lives

That we with him may reign:

Then, O my Lord, prepare

My soul for that glad day; (Refrain)

"
TH1961,a_few_more_years_shall_roll,Trinity Hymnal,1961,,"A few more years shall roll,

A few more seasons come,

And we shall be with those that rest

Asleep within the tomb:

Then, O my Lord, prepare

My soul for that great day;

O wash me in thy precious blood,

And take my sins away.

A few more storms shall beat

On this wild rocky shore,

And we shall be where tempests cease,

And surges swell no more:

Then, O my Lord, prepare

My soul for that calm day;

A few more sabbaths here

Shall cheer us on our way,

And we shall reach the endless rest,

Th'eternal sabbath day:

Then, O my Lord, prepare

My soul for that sweet day;

'Tis but a little while,

And he shall come again

Who died that we might live, who lives

That we with him may reign:

Then, O my Lord, prepare

My soul for that glad day;"
NCH1929,a_few_more_years_shall_roll,The New Christian Hymnal,1929,Gender Neutral,"1. A few more years shall roll,

A few more seasons come,

And we shall be with those that rest

Within their heav'nly home:

Then, O my Lord, prepare

My soul for that great day;

O wash me in Thy precious blood,

And take my sins away!


2. A few more storms shall beat

On this wild, rocky shore,

And we shall be where tempests cease,

And surges swell no more.

A few more struggles here,

A few more partings o'er,

A few more toils, a few more tears,

And we shall weep no more.


3. 'Tis but a little while

And He shall come again,

Who died that we might live, who lives

That we with Him may reign:

Then, O my Lord, prepare

My soul for that glad day;

O wash me in Thy precious blood,

And take my sins away!"
EH1916,a_few_more_years_shall_roll,The Hymnal: as authorized and approved by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1916,1916,,"A few more years shall roll,

A few more seasons come,

And we shall be with those that rest

Asleep within the tomb;

Then, O my Lord, prepare

My soul for that great day;

O wash me in thy precious blood,

And take my sins away.


A few more suns shall set

O'er these dark hills of time,

And we shall be where suns are not,

A far serener clime:

Then, O my Lord, prepare

My soul for that blest day;

O wash me in thy precious blood,

And take my sins away.


A few more storms shall beat

On this wild rocky shore,

And we shall be where tempests cease,

And surges swell no more:

Then, O my Lord, prepare

My soul for that calm day;

O wash me in thy precious blood,

And take my sins away.


404

A few more struggles here,

A few more partings o'er,

A few more toils, a few more tears,

And we shall weep no more:

Then, O my Lord, prepare

My soul for that bright day;

O wash me in thy precious blood,

And take my sins away.


'Tis but a little while

And he shall come again,

Who died that we might live, who lives

That we with him may reign:

Then, O my Lord, prepare

My soul for that glad day;

O wash me in thy precious blood,

And take my sins away.


Amen.


"
HPEC1917,a_few_more_years_shall_roll,The Church Hymnal: revised and enlarged in accordance with the action of the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892. (Ed. B),1898,Gender Neutral,"1 A few more years shall roll,

A few more seasons come,

And we shall be with those that rest

Asleep within the tomb;

Then, O my Lord, prepare

My soul for that great day;

Oh, wash me in Thy precious blood,

And take my sins away.


2 A few more suns shall set,

O'er these dark hills of time,

And we shall be where suns are not,

A far serener clime:

Then, O my Lord, prepare

My soul for that blest day;

Oh, wash me in Thy precious blood,

And take my sins away.


3 A few more storms shall beat

On this wild rocky shore,

And we shall be where tempests cease,

And surges swell no more:

Then, O my Lord, prepare

My soul for that calm day;

Oh, wash me in Thy precious blood,

And take my sins away.


4 A few more struggles here,

A few more partings o'er,

A few more toils, a few more tears,

And we shall weep no more:

Then, O my Lord, prepare

My soul for that bright day;

Oh, wash me in Thy precious blood,

And take my sins away.


5 'Tis but a little while

And He shall come again,

Who died that we might live, Who lives

That we with Him may reign:

Then, O my Lord, prepare

My soul for that glad day;

Oh, wash me in Thy precious blood,

And take my sins away.


Amen."
HAGA1895,a_few_more_years_shall_roll,The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.,1895,Gender Neutral,"1 A few more years shall roll,

A few more seasons come,

And we shall be with those that rest

Asleep within the tomb:

Then, O my Lord, prepare

My soul for that great day;

O wash me in Thy precious blood,

And take my sins away.


2 A few more storms shall beat

On this wild rocky shore,

And we shall be where tempests cease,

And surges swell no more:

Then, O my Lord, prepare

My soul for that calm day;

O wash me in Thy precious blood,

And take my sins away.


3 A few more struggles here,

A few more partings o'er,

A few more toils, a few more tears,

And we shall weep no more:

Then, O my Lord, prepare

My soul for that blest day;

O wash me in Thy precious blood,

And take my sins away.


4 A few more Sabbaths here

Shall cheer us on our way,

And we shall reach the endless rest,

The eternal Sabbath-day:

Then, O my Lord, prepare

My soul for that sweet day;

O wash me in Thy precious blood,

And take my sins away.


5 'Tis but a little while

And He shall come again,

Who died that we might live, who lives

That we with Him may reign:

Then, O my Lord, prepare

My soul for that glad day;

O wash me in Thy precious blood,

And take my sins away.


Amen.


"
HRGC1892,a_few_more_years_shall_roll,"The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,,"1 A few more years shall roll,

A few more seasons come,

And we shall be with those that rest

Asleep within the tomb;

Then, O my Lord, prepare

My soul for that great day;

Oh, wash me in Thy precious blood,

And take my sins away.


2 A few more suns shall set,

O'er these dark hills of time,

And we shall be where suns are not,

A far serener clime:

Then, O my Lord, prepare

My soul for that blest day;

Oh, wash me in Thy precious blood,

And take my sins away.


3 A few more storms shall beat

On this wild rocky shore,

And we shall be where tempests cease,

And surges swell no more:

Then, O my Lord, prepare

My soul for that calm day;

Oh, wash me in Thy precious blood,

And take my sins away.


4 A few more struggles here,

A few more partings o'er,

A few more toils, a few more tears,

And we shall weep no more:

Then, O my Lord, prepare

My soul for that bright day;

Oh, wash me in Thy precious blood,

And take my sins away.


5 'Tis but a little while

And He shall come again,

Who died that we might live, Who lives

That we with Him may reign:

Then, O my Lord, prepare

My soul for that glad day;

Oh, wash me in Thy precious blood,

And take my sins away.


Amen."
HRGC1892,a_few_more_years_shall_roll,"The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,,"1 A few more years shall roll,

A few more seasons come,

And we shall be with those that rest

Asleep within the tomb;

Then, O my Lord, prepare

My soul for that great day;

Oh, wash me in Thy precious blood,

And take my sins away.


2 A few more suns shall set,

O'er these dark hills of time,

And we shall be where suns are not,

A far serener clime:

Then, O my Lord, prepare

My soul for that blest day;

Oh, wash me in Thy precious blood,

And take my sins away.


3 A few more storms shall beat

On this wild rocky shore,

And we shall be where tempests cease,

And surges swell no more:

Then, O my Lord, prepare

My soul for that calm day;

Oh, wash me in Thy precious blood,

And take my sins away.


4 A few more struggles here,

A few more partings o'er,

A few more toils, a few more tears,

And we shall weep no more:

Then, O my Lord, prepare

My soul for that bright day;

Oh, wash me in Thy precious blood,

And take my sins away.


5 'Tis but a little while

And He shall come again,

Who died that we might live, Who lives

That we with Him may reign:

Then, O my Lord, prepare

My soul for that glad day;

Oh, wash me in Thy precious blood,

And take my sins away.


Amen."
HPEC1871,a_few_more_years_shall_roll,Hymnal: according to the use of the Protestant Episcopal Church in the United States of America,1871,Gender Neutral,"1 A few more years shall roll,

A few more seasons come,

And we shall be with those that rest

Asleep within the tomb:

Then, O my Lord, prepare

My soul for that great day;

O wash me in Thy precious Blood,

And take my sins away.


2 A few more suns shall set

O'er these dark hills of time,

And we shall be where suns are not,

A far serener clime:

Then, O my Lord, prepare

My soul for that blest day;

O wash me in Thy precious Blood,

And take my sins away.


3 A few more storms shall beat

On this wild rocky shore,

And we shall be where tempests cease,

And surges swell no more:

Then, O my Lord, prepare

My soul for that calm day;

O wash me in Thy precious Blood,

And take my sins away.


4 A few more struggles here,

A few more partings o'er,

A few more toils, a few more tears,

And we shall weep no more:

Then, O my Lord, prepare

My soul for that bright day;

O wash me in Thy precious Blood,

And take my sins away.


5 'Tis but a little while

And He shall come again,

Who died that we might live, Who lives

That we with Him may reign:

Then, O my Lord, prepare

My soul for that glad day;

O wash me in Thy precious blood,

And take my sins away."
CH1962,a_little_child_may_know,The Children's Hymnbook,1962,Gender Neutral,"1. A little child may know

Our Father's name of love;

'Tis written o'er the earth below

And on the sky above.


2. Around me when I look,

His handiwork I see;

This world is like a picture book

To teach His love to me.


3. The birds that sweetly sing,

The moon that shines by night,

With every tiny living things

Rejoicing in the light,


4. And every star above,

Set in the deep blue sky,

Assure me that our God is love

And tell me He is nigh."
