hymnalID,"hymnalTitle","editors","publisher",publicationState 1,"publicationState 2",publicationDate,"denominations",tags
PDIL1818,"The Psalms of David: imitated in the language of the New Testament, and applied to the Christian state and worship","Isaac Watts, D. D.; Patten & Webster","Patten & Webster (Printer)",Hartford,"",1780,"",
DDPK1781,"Das kleine Davidische Psalterspiel der Kinder Zions","Steiner und Cist","Steiner und Cist",Philadelphia,"Penn.",1781,"Church of the Brethren, Dunkers",
HLPK1781,"Horae lyricae: poems, chiefly of the lyric kind ...","Isaac Watts","Printed and sold by R. Aitkin",Philadelphia,"",1781,"",No Hymns
PSAC1781,"The Psalm-singer's amusement: containing a number of fuging pieces and anthems","Billings, William","[s.n.]",Boston,"",1781,"",No Hymns
CHSW1783,"A Collection of Hymns for Social Worship","A.  Law; William Law","William Law",Cheshire,"Conn.",1783,"",
AECL1785,"Ausbund, das ist Etliche Schöne Christliche Lieder wie sie in dem Gefängnüss zu Bassau in dem Schloß von den Schweitzer-Brüdern, und von anderen rechtgläubigen Christen hin und her gedichtet worden...","Leibert und Billmeyer","Leibert und Billmeyer",Germantown,"Penn.",1785,"Old Order Amish Mennonite Church",
DWIP1785,"Doctor Watts's Imitation of the Psalms of David: to which is added a collection of hymns; the whole applied to the state of the Christian church in general (Corr. and enl.)","Joel Barlow; Barolow and Babcock","Barlow and Babcock (Printer)",Hartford,"Conn.",1785,"Congregationalist Churches",
DWIP1786,"Doctor Watts imitation of the psalms of David, corrected and enlarged","Isaac Watts","Printed for Hudson and Goodwin",Hartford,"",1786,"",No Hymns
DWIC1786,"Doctor Watts's imitation of the Psalms of David, corrected and enlarged","Isaac Watts","Printed by Nathaniel Patten",Hartford,"",1786,"",No Hymns
ELSG1786,"Erbauliche Lieder-Samlung zum Gottesdienstlichen Gebrauch in der vereingten evangelisch lutherischen Gemeinen in N. America ... l.Aufl.","Evangelical Lutheran Ministerium of Pennsylvania and Adjacen; Leibert und Billmeyer","Leibert und Billmeyer",Germantown,"Penn.",1786,"Lutheran hymnals (general)",
HSFF1786,"Hymns Suited to the Feasts and Fasts of the Church ...","Hall & Sellers","Hall & Sellers",Philadelphia,"Penn.",1786,"(Protestant) Episcopal Church",
CLVH1787,"A Compilation of the Litanies and Vespers Hymns and Anthems","John Aitken","",Philadelphia,"Penn.",1787,"Roman Catholic Church",
DWIP1787,"Dr. Watts' Imitation of the Psalms ... Corrected and enlarged 3rd ed.","Joel Barlow; Hudson and Goodwin","Hudson and Goodwin",Hartford,"",1787,"Congregational Christian Churches, 1931-",
SPH1787,"Select Psalms and Hymns for the use of Mr. Adgate's pupils: and  proper for all singing-schools","Andrew Adgate","Uranian Press (Printer) by Young and M'Culloch",Philadelphia,"",1787,"Presbyterian hymnals (general)",
PHBD1788,"A Pocket hymn book, designed as a constant companion for the pious: collected from various authors","","Printed by Prichard and Hall",Philadelphia,"",1788,"Methodist Episcopal Church",No Hymns
CPHP1789,"A Collection of Psalms and Hymns for Publick Worship","William Bentley; Dabney & Cushing","Dabney & Cushing",Salem,"Mass.",1789,"Unitarian Churches",
PDHS1789,"The Psalms of David: with hymns and spiritual songs: also, the catechism, confession of faith, and liturgy of the Reformed Church in the Netherlands","Hodge, Allen & Campbell","Hodge, Allen & Campbell (Printer)",New York,"",1789,"Reformed Protestant Ducth Church",
PHBD1790,"A Pocket hymn-book, designed as a constant companion for the pious: collected from various authors","","Printed by Prichard and Hall",Philadelphia,"",1790,"Methodist Episcopal Church",No Hymns
SPHP1790,"A Selection of Psalms and Hymns: done under the appointment of  the Philadelphian Association","Samuel Jones, D. D.; Burgis Allison, A. M.; R. Aitken & son","R. Aitken & Son",Philadelphia,"",1790,"Baptist",
DWI21790,"Doctor Watts's Imitation of the Psalms of David","Isaac Watts","Printed by Nathaniel Patten",Hartford,"",1790,"",No Hymns
DWIP1790,"Dr. Watts's imitation of the psalms of David: suited to the Christian worship in the United States, and allowed by the Synod of New York and New Jers","Isaac Watts","Printed by Elihu Phinney",Cooperstown,"",1790,"",No Hymns
PHBM1790,"Pocket Hymn Book of the Methodist Episcopal Church","Thomas Coke; Francis Asbury; Methodist Book Store","Methodist Book Store",Philadelphia,"Penn.",1790,"Methodist hymnals (general)",
SHOS1790,"Society hymns, original and selected . . .","","Printed and sold by Manning & Loring",Boston,"",1790,"",No Hymns
CHSS1791,"A Collection of Hymns, Selected from Sundry Poets, Together with a Number of New Poems, Never Before Published","Edward Clark Saunders; John Byrne","John Byrne",Windham,"Conn.",1791,"",
PHBD1791,"A Pocket Hymn Book: designed as a constant companion for the pious, collected from various authors (9th ed.)","","Rice and Co.",Baltimore,"",1791,"Methodist hymnals (general)",
HA1791,"Harmonia Americana: containing a concise introduction to the grounds of music; with a variety of airs, suitable fore divine worship and the use of musical societies; consisting of three and four parts","Samuel Holyoke, A. B.","Isaiah Thomas and Ebenezer T. Andrews (printers)",Boston,"",1791,"",Has Music
PCSC1791,"Psalms, carefully suited to the Christian worship in the United States of America: being an improvement of the old version of the Psalms of David ; allowed by the reverend Synod of New York and Philad","Isaac Watts","Printed by Shepard Kollock",Elizabethtown,"",1791,"",No Hymns
CD1791,"The Christians Duty, exhibited, in a series of Hymns: collected from various authors, designed for the worship of God, and for the edification of Christians (1st Ed.)","Peter Leibert","Peter Leibert (Printer)",Germantown,"Penn.",1791,"German Baptist Brethren",
SoP1792,"A Selection of Psalms with occasional hymns","R. Smith; H. Purcell; W. P. Young","W. P. Young",Charleston,"S.C.",1792,"",
DHLL1792,"Die kleine Harfe, gestimmet von unterschiedlichen lieblichen Liedern oder Lob-Gesaengen","Samuel Saur","Samuel Saur",Chesnuthill,"Penn.",1792,"Church of the Brethren, Dunkers",
EPHS1792,"Evangelical Psalms, hymns, and spiritual songs: selected from various authors; and published by a Committee of the Convention of the churches, believing in the restitution of all men, met in Philadelp","Universalist Church of America","Printed by Thomas Dobson",Philadelphia,"",1792,"Universalist Church of America",
HPSY1792,"Hymns of Praise, Sung by the Youth of the Evangelical Lutheran Zion's      Congregation of Loonenburg ... Albany, N.Y.","Ashbel Stoddard","Ashbel Stoddard",Hudson,"N.Y.",1792,"General Synod of the Evangelical Lutheran Church in the United States",
HDSS1792,"Hymns on Different Spiritual Subjects. Part I","Benjamin Cleaveland","",Norwich,"Conn.",1792,"Baptist hymnals (general)",
HVSP1792,"Hymns on Various Subjects. Part II","Anna Beeman","",Norwich,"Conn.",1792,"Baptist hymnals (general)",
LNCS1792,"Liturgy of the New Church, signified by the New Jerusalem in the Revelation ..","New Jerusalem Church","Printed and sold by Samuel and John Adams",Baltimore,"",1792,"New Jerusalem Church",
PHSS1792,"Psalms, Hymns and Spiritual Songs: selected and original, designed for the use of the Church Universal in public and private devotion","George Richards; Oliver W. Lane; I. Thomas & E. T. Andrews","I. Thomas & E. T. Andrews",Boston,"",1792,"Universalist Church",
SHBA1792,"Selection of Hymns from the Best Authors, intended to be an Appendix to Dr. Watts' Psalms and Hymns. (1st Am. ed.)","John Rippon, A.M.; William Durell","William Durell",New York,"",1792,"Baptist",
CoEH1793,"A Collection of Evangelical Hymns","John Stanford; Thomas & James Swords","Thomas & James Swords",New York,"N.Y.",1793,"Baptist hymnals (general)",
NCHS1793,"A New Collection of Hymns and Spiritual Songs. 3rd ed.","John Peak; Alden Spooner","Alden Spooner",Windsor,"Vt.",1793,"",
PHBD1793,"A Pocket hymn-book, designed as a constant companion for the pious: collected from various authors","","Printed by Parry Hall",Philadelphia,"",1793,"Methodist Episcopal Church",
HSS31769,"Hymns and Spiritual Songs, in Three Books: I. collected fromt he scriptures, II. composed on divine subjects, III. prepared for the Lord's Supper","I. Watts, D. D.; Brynberg and Andrews","Brynberg and Andrews (Printer)",Wilmington,"[Del.]",1793,"",
HSSS1793,"Hymns and Spiritual Songs, selected from Several Approved Authors,         Recommended by the Baptist General Committee of Virginia","Eleazar Clay; John Dixon","John Dixon",Richmond,"Va.",1793,"Baptist hymnals (general)",
PCSC1788,"Psalms Carefully Suited to the Christian Worship in the United States of America: being an improvement of the old version of the Psalms of David","Joel Barlow; W. Spotswood; Isaac Watts","W. Spotswood",Philadelphia,"",1793,"Congregational Church",
PCSU1793,"Psalms, carefully suited to the Christian worship in the United States of America: being an improvement of the old versions of the Psalms of David.","Isaac Watts","Printed by W. Young",Philadelphia,"",1793,"",No Hymns
PCSC1793,"Psalms carefully suited to the Christian worship in the United States of America: being an improvement of the old versions of the Psalms of David ; a","Isaac Watts","Printed and sold by Samuel Campbell",New York,"",1793,"",No Hymns
PMHS1793,"Psalms in Metre and Hymns Selected for the Use of the Parish Church      of Boston","","",Boston,"Mass.",1793,"(Protestant) Episcopal Church",
RHBO1793,"The Rural harmony: being an original composition, in three and four parts ; for the use of singing schools and musical societies","Kimball, Jacob","Printed by Isaiah Thomas and Ebenezer T. Andrews",Boston,"",1793,"",No Hymns
UHOU1793,"The Union harmony, or Universal collection of sacred music","Holden, Oliver","Printed by Isaiah Thomas and Ebenezer T. Andrews [etc.]",Boston,"",1793,"",No Hymns
WBPM1808,"The Whole Book of Psalms: in metre; with hymns suited to the feasts and fasts of the church, and other occasions of public worship","H. Gaine","H. Gaine (Printer)",New York,"",1793,"Episcopal Church",
DHSS1794,"Divine Hymns, or Spiritual Songs: for the use of religious assemblies and private Christians (Latest and largest ed.)","Joshua Smith; Samuel Sleeper; John Melcher","John Melcher",Portsmouth,"N.H.",1794,"Baptist",
PCSC1794,"Psalms carefully suited to the Christian worship in the United States of America: being Dr. Watts' imitation of the psalms of David as improved by Mr","Isaac Watts","Printed and sold by John M'Culloch",Philadelphia,"",1794,"",No Hymns
SPHY1794,"Select Psalms and Hymns for Youth and Suitable for All Singing Schools","John Ormrod; William W. Woodward","William W. Woodward",Philadelphia,"Penn.",1794,"",
HPBU1795,"A Hymn and Prayer-Book: for the use of such Lutheran churches as Use the English language","John C. Kunze, D. D.; Hurtin & Commardinger","Hurtin & Commardinger",New York,"N.Y.",1795,"Lutheran",
DDPK1797,"Das Kleine Davidische Psalterspiel der Kinder Zions: von alten und neuen auserlesenen Geistes-Gesängen allen wahren heils-begierigen säuglingen der weisheit, infonderheit aber denen Gemeinden ...","Salomon Mäyer","Salomon Mäyer",Ephrata,"Penn",1795,"Church of the Brethren",
ELSG1795,"Erbauliche Lieder-Sammlung zum Gottesdienstlichen Gebrauch in den vereinigten evangelisch-lutherischen Gemeinen in Pennsylvania ... 2. Aufl.","Evangelical Lutheran Ministerium of Pennsylvania and Adjacen; Michael Billmeyer","Michael Billmeyer",Germantown,"Penn.",1795,"Lutheran hymnals (general)",
KCDD1795,"Kleine catechismus des D. Martin Luthers: nebst den gewoÌˆhulichen Morgen-Zisch- und Abend-Gebeten ; welchem die ordnung des heils ... wie auch ... d","Luther, Martin, 1483-1546.","Gedruckt bey Michael Billmeyer",Germantaun,"",1795,"Lutheran Church",No Hymns
SPCA1795,"Sacred poetry: consisting of Psalms and hymns, adapted to Christian devotion, in public and private ; selected from the best authors, with variations","Belknap, Jeremy, 1744-1798.","Printed at the Apollo Press by Joseph Belknap",Boston,"",1795,"",No Hymns
SPCP1795,"Sacred Poetry: consisting of psalms and hymns, adapted to Christian devotion, in public and private, selected from the best authors, with variations and additions","Jeremy Belknap,D. D.; Apollo Press by Joseph Belknap","Apollo Press by Joseph Belknap",Boston,"",1795,"",
CHPP1796,"A Collection of Hymns for Public and Private Worship approved by the       Presbytery of Charleston","George Buist","M'Iver",Charleston,"S.C.",1796,"Presbyterian hymnals (general)",
UHOU1796,"The Union harmony, or Universal collection of sacred music ... Vol. I","Holden, Oliver","Printed by Isaiah Thomas and Ebenezer F. Andrews",Boston,"",1796,"",No Hymns
CEHD1797,"A Collection of Evangelical Hymns; made from Different Authors and Collections for the English Lutheran Church in New York","George Strebeck; John Tiebout","John Tiebout",New York,"N.Y.",1797,"Lutheran hymnals (general)",
PHBD1798,"A Pocket Hymn-Book: designed as a constant companion for the pious: collected from various authors. (21st ed.)","Henry Tuckniss","Henry Tuckniss",Philadelphia,"",1797,"Methodist Episcopal Church",
DDP1797,"Das kleine Davidische Psalterspiel der Kinder Zions. 2. verb. aufl.","Samuel Saur","Samuel Saur",Baltimore,"Md.",1797,"Church of the Brethren, Dunkers",
DHSS1797,"Divine Hymns, or Spiritual Songs: for the Use of Religious Assemblies and Private Christians. 8th ed.","Joshua Smith; John Sterry & Co.","John Sterry & Co.",Norwich,"Conn.",1797,"Baptist hymnals (general)",
HSS1797,"Hymns and spiritual songs","Alline, Henry, 1748-1784","Printed by Samuel Bragg, Jun.",Dover,"",1797,"",No Hymns
HUSU1797,"Hymns for the Use of the Society of United Christian Friends: with their constitution annexed","J. Tiebout","J. Tiebout",New York,"",1797,"Society of United Christian Friends",
SPCP1797,"Sacred Poetry: Consisting of Psalms and Hymns, Adapted to Christian        Devotion, in Public and Private. 2nd ed.","Jeremy Belknap; Thomas & Andrews & D. West","Thomas & Andrews & D. West",Boston,"Mass.",1797,"",
AMMC1798,"American musical miscellany: a collection of the newest and most approved songs set to music","","Printed by Andrew Wright for Daniel Wright and Co.",Northampton,"Mass.",1798,"",
CFUC1798,"Cantiques Francais a l'Usage du Catechisme de l'Eglise de Saint-Patrice de Baltimore","Jean Hayes, pour le compte de J. Rice","Jean Hayes, pour le compte de J. Rice",Baltimore,"Md.",1798,"Roman Catholic Church",
PDM1798,"Psalms of David in metre","Brown, John, 1722-1787.","Printed by Patterson & Cochran",Philadelphia,"",1798,"Presbyterian Church",No Hymns
EION1798,"The easy instructor: or, A new method of teaching sacred harmony. Containing, I. The rudiments of music on an improved plan ... II. A choice collection of psalm tunes and anthems","Little, William","Printed for Websters & Skinners and D. Steele. Packard & Benthuysen, printers",Albany,"",1798,"",No Hymns
CPHP1799,"A Collection of Psalms and Hymns for Publick Worship","James Freeman; Manning & Loring","Manning & Loring",Boston,"",1799,"Unitarian Churches",
DHSS1799,"Divine Hymns, or Spiritual Songs for ... Religious Assemblies and Private Christians ... 9th ed.","William Northup; John Sterry","John Sterry",Norwich,"Conn.",1799,"Baptist hymnals (general)",
HSHM1799,"The Hartford Selection of Hymns from the Most Approved Authors: to which are added a number never before published","Nathan Strong; Abel Flint; Joseph Steward; John Babcock","John Babcock",Hartford,"Conn.",1799,"Congregational Churches",
VMGU1777,"Vollständiges Marburger Gesang-Buch: zur Uebung der Gottseligkeit, in 615 christlichen und trostreichen Psalmen und Gesängen...Martin Luther's (Neue und von Druckfehlern sorgfältig gereinigte Ausg.)","Carl Cist","Carl Cist",Philidelphia,"",1799,"Lutheran hymnals (general)",
PHBD1800,"A Pocket hymn-book, designed as a constant companion for the pious: collected from various authors","","Printed by Henry Tuckniss",Philadelphia,"",1800,"Methodist Episcopal Church",No Hymns
AHUS1800,"Anthems, Hymns ... Usually Sung at the Catholic Church in Boston","John Cheverus; Manning & Loring","Manning & Loring",Boston,"Mass.",1800,"Roman Catholic Church",
CS1800,"Cavnaugh's selections","","[s.n.]",S.l.,"",1800,"",No Hymns
DHSS1800,"Divine Hymns, or Spiritual Songs: for the Use of Religious Assemblies and Private Christians (7th Ed. Rev.)","Joshua Smith; J. Woods for John Tiebout","J. Woods, for John Tiebout",New York,"",1800,"Baptist hymnals (general)",
HSSS1800,"Hymns and services of the Sunday-school of the West Spruce StreetPresbyterian Church, Philadelphia","West Spruce Street Presbyterian Church (Philadelphia, Pa.)","s.n., 18--?]",Philadelphia,"",1800,"Presbyterian Church",No Hymns
HYC1800,"Hymns for young children . . .","Presbyterian Church . . .","Presbyterian Board of Publication",Philadelphia,"",1800,"Presbyterian Church",No Hymns
PPOS1800,"Plain Psalmody, or Supplementary music: an original composition, set in three and four parts ; consisting of seventy Psalm and hymn tunes and an anthem, adapted to the numerous metres now extant ; for","Holden, Oliver, 1765-1844","Printed by Isaiah Thomas and Ebenezer T. Andrews",Boston,"",1800,"",No Hymns
PGC1800,"Poetic gift: containing . . .","Elliot, Mary Belson","S. Babcock",New Haven,"",1800,"",No Hymns
PGC21800,"Poetic gift: containing . . .","Elliot, Mary Belson","S. Babcock",New Haven,"",1800,"",No Hymns
SP,"Scottish Psalter and Paraphrases","","Grand Rapids, MI: Christian Classics Ethereal Library",,"",1800,"Presbyterian",
TFG,"Translations from the French of Madame de la Mothe Guion","William Cowper","Grand Rapids, MI: Christian Classics Ethereal Library",,"",1800,"",
CHSS1801,"A Collection of Hymns and Spiritual Songs. 2nd ed.","Richard Allen; T. L. Plowman","T. L. Plowman",Philadelphia,"Penn.",1801,"African Methodist Episcopal Zion Church",
CSSH1801,"A Collection of Spiritual Songs and Hymns","Richard Allen; John Ormrod","John Ormrod",Philadelphia,"Penn.",1801,"African Methodist Episcopal Zion Church",
NBCS1801,"A New and Beautiful Collection of Select Hymns and Spiritual Songs","Josiah Goddard; Thomas & Thomas","Thomas & Thomas",Walpole,"N.H.",1801,"",
SPHD1801,"A selection of Psalms and hymns, done under appointment of the Philadelphian Association","Jones, Samuel, 1735-1814, comp","Printed by Stephen C. Ustick",Burlington,"",1801,"",
HSSU1801,"Hymns and Spiritual Songs, for the Use of Christians","McCrea & Barnhill","McCrea & Barnhill",Baltimore,"Md.",1801,"Christian Church, General Convention",
NERG1801,"Neu-vermehrtes und vollstaendiges Evangelisch-Reformirtes Gesang-Buch ... Gebrauch derer deutschen Gemeinden ... mit einem Anhang","","",Philadelphia,"Penn.",1801,"(German) Reformed Church in the US",
NEHC1801,"New England harmony: containing, a variety of Psalm tunes, in three and four parts, adapted to all metres ; also, a number of set pieces, of several verses each, together with a number of anthems","Swan, Timothy","Printed by Andrew Wright",Northampton,"",1801,"",No Hymns
CD21801,"The Christian's Duty: exhibited in a series of hymns collected from various authors designed for the worship of God, and for the edification of Christians (2nd ed.)","Peter Leibert","Peter Leibert",Germantown,"Penn.",1801,"German Baptist Brethren",
CRSH1802,"Columbian repository of sacred harmony: selected from European and American authors, with many new tunes not before published ; including the whole of Dr. Watts' Psalms and hymns, to each of which a t","Holyoke, Samuel, 1771-1816.","From the Music-Press of Henry Ranlet",Exeter,"N.H.",1802,"",No Hymns
DHSS1802,"Divine Hymns or Spiritual Songs, for the use of religious assemblies and private Christians: being a collection","Joshua Smith; Samson Occum","Asher & Charles Miner (printer)",Wilkesbarre,"Penn.",1802,"",
DSAE1802,"Divine songs attempted in easy language for the use of children","Isaac Watts","Printed for John Tiebout",New York,"",1802,"",
HACS1886,"Hymns Arranged for the Communion Service of the Church of the United Brethren","","Published for the Society",Bethlehem,"Penn.",1802,"Church of the United Brethren in Christ",
PHBD1802,"Pocket Hymn Book, Designed as a Constant Companion. 25th ed.","Ezekiel Cooper","Ezekiel Cooper",Philadelphia,"Penn.",1802,"Methodist hymnals (general)",
RCMC1802,"Roman Catholic Manual, or Collection of Prayers, Anthems, Hymns, etc.","John Cheverus; Manning & Loring","Manning & Loring",Boston,"Mass.",1802,"Roman Catholic Church",
SN1802,"Songs in the night","Harrison, Susanna, 1752-1784","Printed by Henry Ranlet for Ancier March",Exeter,"",1802,"",
HSoH1802,"The Hartford Selection of Hymns: from the most approved authors: to which are added a number never before published (2nd ed.)","Nathan Strong; Abel Flint; Joshua Steward; J. Babcock","J. Babcock",Hartford,"",1802,"Congregationalist Churches",
CHMP1803,"A Collection of Hymns, More Particularly Designed for the Use of the  West Society in Boston. (2nd ed. with Additions)","John & Thomas Fleet","John & Thomas Fleet",Boston,"",1803,"Unitarian Church",
HSSU1803,"Hymns and Spiritual Songs for the Use of Christians","Joseph Carless","Joseph Carless",Lexington,"Ky.",1803,"Christian Church, General Convention",
HSSC1803,"Hymns and Spiritual Songs for the use of Christians","John W. Scott","John W. Scott",Philadelphia,"Penn.",1803,"Christian Church, General Convention",
HSDW1803,"Hymns Selected from Dr. Watts, Dr. Doddridge and Various Other Writers","T. Dwight; Hudson & Goodwin","Hudson & Goodwin",New Haven,"Conn.",1803,"Congregational Christian Churches, 1931-",
ACSH1803,"The American Compiler of Sacred Harmony","Stephen Jenks; Elijah Griswold","",Northampton,"Mass.",1803,"",
CCSS1803,"The Charlestown collection of sacred songs: adapted to public and private devotion ; principally original compositions","Holden, Oliver","Printed by Isaiah Thomas and Ebenezer T. Andrews",Boston,"",1803,"",No Hymns
CRSH1803,"The Columbian Repository: or, Sacred Harmony: selected from European and American authors with many new tunes not before published","Samuel A. Holyoke; Henry Ranlet","Henry Ranlet",Exeter,"N.H.",1803,"",Has Music
MPHB1807,"The Methodist Pocket Hymn-book, revised and improved: designed as a constant companion for the pious, of all denominations (30th ed.)","Ezekiel Cooper & Solomn W. Conrad","Solomon W. Conrad (Printer) for Exekiel Cooper",Phildelphia,"",1803,"Methodist Episcopal Church",
MPHB1803,"The Methodist pocket hymn-book, revised and improved: designed as a constant companion for the pious, of all denominations ; collected from various authors","","Printed by Solomon W. Conrad, for Ezekiel Cooper",Philadelphia,"",1803,"Methodist Episcopal Church",No Hymns
CoH41810,"A Collection of Hymns for the use of Christians","Elias Smith; Abner Jones; Manning & Loring","Manning & Loring",Boston,"",1804,"Christian Connection",
NCMA1804,"A New Collection of the Most Approved Hymns and Spiritual Songs, Mostly Original, for the Use of Christians of All Denominations","Salmon Hall; Salmon Hall","Salmon Hall",New Bern,"N.C.",1804,"",
SHBA1804,"A Selection of Hymns from the Best Authors, intended to be an Appendix to  Dr. Watts' Psalms & Hymns. 2nd Baltimore ed.","John Rippon; Samuel Butler","Samuel Butler",Baltimore,"Md.",1804,"Baptist hymnals (general)",
ENUG1804,"Ein Neues, Unpartheyisches Gesangbuch zum Allgemeinen Gebrauch des Wahren Gottesdienstes ... 1. Ausg.","Johann Albrecht","Johann Albrecht",Lancaster,"Penn.",1804,"Old Order Amish Mennonite Church",
EUGB1804,"Ein Unpartheyisches Gesang-Buch: enthaltend geistreiche Lieder und Psalmen, zum allgemeinen Gebrauch des wahren Gottesdienstes auf begehren der Brüderschaft der Menoniten Gemeinen...","Johann Albrecht","Johann Albrecht",Lancaster,"Penn.",1804,"Mennonite Church, Lancaster Conference",Has Music
