personID,personName,gender,personYear,deathYear
"Wallgren_AS1","A. S. Wallgren",M,1885,1940
"Maasalo_A","Armas Maasalo, b. 1885",M,1885,1960
"chinula_cg","Charles G. Chinula (1885-1970)",M,1885,1970
"Marsh_CH","Charles H. Marsh",M,1885,1956
"Reed_EMG","Edith M. G. Reed",F,1885,1933
"Chubb_F","Frederick Chubb, 1885-1966",M,1885,1966
"Lillenas_H","Halder Lillenas",M,1885,1959
"Kuiper_HJ","Henry J. Kuiper",M,1885,1962
"Vandevere_JL1","J. Lilian Vandevere",F,1885,1985
"Tippett_JS1","J. S. Tippett",M,1885,1958
"Mueller_JT","J. T. Mueller, 1885-1967",M,1885,1967
"Campbell_LE","L. E. C.",F,1885,1963
"Untermeyer_L1","L. Untermeyer",M,1885,1977
"Peace_LR","Lister R. Peace",M,1885,1969
"Turner_M","M. Elmore Turner, 1906-",M,1885,1985
"Brahe_MH","Mae H. Brahe",F,1885,1956
"Dickey_M","Mark Dickey, 1885-",U,1885,
"Warmingham_OW1","Osbert W. Warmingham",M,1885,1985
"Harlow_SR","S. Ralph Harlow",M,1885,
"Teddlie_TS","Tillit S. Teddlie",M,1885,1987
"Cooper_WO4","W. Oliver Cooper",M,1885,
"Percy_WA","William Alexander Percy, 1885-1942",M,1885,1942
"Snead_AC","A. C. Snead",M,1884,
"Widmeyer_CB","C. B. W.",M,1884,1974
"Stewart_CH","C. Hylton Stewart, 1884-1932",M,1884,1932
"cent_EMEt","Eric Milner-White",M,1884,1963
"Bartlett_EM","Eugene M. Bartlett",M,1884,1941
"Titcomb_E","Everett Titcomb",M,1884,1968
"Morley_FB","Frederick B. Morley",M,1884,1969
"Westwood_H","Horace Westwood",U,1884,1956
"Wetzel_JO1","J. O. Wetzel",M,1884,1984
"Luker_JT1","J. T. Luker",U,1884,1972
"Bacon_K1","Katharyn Bacon",F,1884,
"Willson_MFC","M. F. C. Willson",,1884,1944
"Butler_Montagu","Montagu C. Butler",M,1884,1970
"Teasdale_S1","Sara Teasdale",F,1884,1933
"Lowden_CH","C. H. L.",M,1883,1963
"Twohig_DS1","Daniel S. Twohig",M,1883,1961
"Riley_CE1","Dean C. E. Riley",M,1883,1971
"Studdert-Kennedy","G. A. Studder-Kennedy",M,1883,1929
"Bell_GKA","G. K. A. Bell",M,1883,1958
"Day_GM","Gardiner M. Day, b. 1883",M,1883,
"Day_GH","George Henry Day",M,1883,1966
"Walter_HA","Howard Arnold Walter",M,1883,1918
"Kretzmann_PE","Paul E. Kretzmann, 1883-1965",M,1883,1965
"Taylor_SE","Sarah E. Taylor",F,1883,1954
"Harris_WH","William H. Harris",M,1883,1973
"Pace_AM1","Adger M. Pace",M,1882,1959
"Edmiaston_BB1","B. B. Edmiaston",F,1882,1955
"Pfatteicher_C","C. F. Pfatteicher",M,1882,1957
"Ohara_G","Geoffrey O'Hara",M,1882,1967
"Schehl_JA1","J. Alfred Schehl (1922-1959)",M,1882,1859
"Scholfield_JP","Jack P. Scholfield",M,1882,1982
"Cory_JC","Julia C. Cory",F,1882,1963
"Tamminen_KV1","Kauko-Veikko Tamminen",M,1882,1946
"Finlay_KG","Kenneth G. Finlay",M,1882,1974
"Tiplady_T1","Thomas Tiplady",M,1882,1967
"Bowie_WR","Walter Russell Bowie",M,1882,1969
"Knab_A","Armin Knab, 1881-1951",U,1881,1951
"Taylor_A5","Austin Taylor",M,1881,1973
"Stork_C","Charles Wharton Stork",M,1881,1971
"Teilhard_CP1","de Chardin P. Teilhard",M,1881,1955
"Farjeon_E","Eleanor Farjeon, 1881-1965",F,1881,1965
"Hewson_GHP","George Henry Phillips Hewson, b.1881",M,1881,1972
"Mason_HS","Harry S. Mason",M,1881,1964
"Scott_JS","John S. Scott, 1881-1960",M,1881,1960
"Byrum_LC","Lucena Byrum, 1881-1956",F,1881,1956
"Sveegen_PA3","P. A. Sveggen, 1881-1959",M,1881,1959
"Paulsen_PC","P. C. Paulsen, 1881-1948",M,1881,1948
"Sveggen_PA","Peter A Sveeggen, 1881-1959",M,1881,1959
