personID,personName,gender,personYear,deathYear
"Sidebotham_MA1",""A.N."",F,0,0
"Alvin",""Alvin"",U,0,0
"Belle1",""Belle"",,0,0
"Beulah1",""Beulah"",,0,0
"Farin",""Farin"",U,0,0
"B_H",""H. B."",,0,0
"InquirerDruck1",""Inquirer" Druck",,0,0
"K",""K"",U,0,0
"Keene_R",""K"",U,0,0
"Sylvia",""Sylvia"",U,0,0
"TheKingdomPubCo1",""The Kingdom" Pub. Co.",U,0,0
"LutheranBookConcern3","[Lutheran] Book Concern",,0,0
"20thcenturyHymnalCommittee1","20th century Hymnal Committee",,0,0
"ACommitteeoftheMennonites1","A Committee of the Mennonites",,0,0
"Law_A2","A.  Law",,0,0
"Lamb_AM2","A.  M. Lamb",,0,0
"Pierson_AT5","A.  T. Pierson",,0,0
"ASNordheimer1","A. & S. Nordheimer",U,0,0
"Procter_AA","A. A.  Procter",F,1825,1864
"AAA","A. A. A.",U,0,0
"A.A.A.","A. A. A.",U,0,0
"Armen_AA2","A. A. A.",,0,0
"Allison_AA1","A. A. Allison",,0,0
"Amstutz_AA1","A. A. Amstutz",,0,0
"Arnold_AA1","A. A. Arnold",,0,0
"Baldwin_AA1","A. A. Baldwin",,0,0
"Phipps_AAC1","A. A. C. Phipps",,0,0
"Daniels_AA1","A. A. Daniels",,0,0
"Doughty_AA1","A. A. Doughty",,0,0
"AAF","A. A. F.",U,0,0
"Gradley_AA1","A. A. Gradley",,0,0
"Haggard_AA1","A. A. Haggard",,0,0
"Hensler_AA1","A. A. Hensler",,0,0
"Hillard_AA1","A. A. Hillard",,0,0
"Hopkins_AA1","A. A. Hopkins",,0,0
"Hoskisn_AA1","A. A. Hoskisn",,0,0
"Johnston_AA1","A. A. Johnston",F,0,0
"Melendez_AA1","A. A. Melendez",,0,0
"Oakman_AA1","A. A. Oakman",,0,0
"Pawn_AA1","A. A. Pawn",,0,0
"Payn_AA1","A. A. Payn",M,1868,1946
"Rattray_AA1","A. A. Rattray",,0,0
"Reavley_AA1","A. A. Reavley",,0,0
"Smith_AA1","A. A. Smith",,0,0
"Stapp_AA1","A. A. Stapp",F,0,0
"Stevenson_AA1","A. A. Stevenson",,0,0
"AAundWSBlumer1","A. A. und W. S. Blumer",U,0,0
"Veatch_AA1","A. A. Veatch",M,1866,1951
"Warsham_AA1","A. A. Warsham",,0,0
"Whitman_AA1","A. A. Whitman",,0,0
"Wild_AA1","A. A. Wild",M,0,0
"Wofford_AA1","A. A. Wofford",,0,0
"Worsham_AA1","A. A. Worsham",,0,0
"Achrenius_A1","A. Achrenius",,0,0
"Adam_A2","A. Adam",,0,0
"Flower_AA1","A. Adele Flower",,0,0
"Ainger_A2","A. Ainger",,0,0
"Allen_A2","A. Allen",,0,0
"Amnelius_A1","A. Amnelius",,0,0
"Armstrong_A3","A. Armstrong",,0,0
"Arundel_A1","A. Arundel",,0,0
"Atkin_A1","A. Atkin",,0,0
"AAuldJoshuaMartin1","A. Auld & Joshua Martin",,0,0
"Auris_A1","A. Auris",,0,0
"AB","A. B.",U,0,0
"Androzzo_AB1","A. B. Androzzo",,0,0
"Bragdon_AB1","A. B. B.",,0,0
"Bowser_AB1","A. B. Bowser",,0,0
"Bridger_AB1","A. B. Bridger",,0,0
"Brown_AB1","A. B. Brown",,0,0
"Cujus_AB1","A. B. C.",,0,0
"Cabaniss_AB1","A. B. Cabaniss",,0,0
"Caffrey_AB1","A. B. Caffrey",,0,0
"Calk_AB1","A. B. Calk",,0,0
"Carey_AB1","A. B. Carey",,0,0
"Cates_AB1","A. B. Cates",,0,0
"Christian_AB1","A. B. Christian",,0,0
"Condo_AB2","A. B. Condo",,0,0
"Couper_AB2","A. B. Couper",,0,0
"Dickerson_AB1","A. B. Dickerson",,0,0
"Earle_AB3","A. B. Earle",,0,0
"ABFHildreth1","A. B. F. Hildreth",U,0,0
"Greiner_AB1","A. B. Greiner",,0,0
"Haines_AB1","A. B. Haines",,0,0
"Kaufman_AB1","A. B. Kaufman",,0,0
"Kendall_AB1","A. B. Kendall",,0,0
"Kieffer_AB1","A. B. Kieffer",,0,0
"Kolb_AB1","A. B. Kolb",U,0,0
"Lee_AB1","A. B. Lee",,0,0
"McLeod_AB1","A. B. McLeod",,0,0
"Minga_AB2","A. B. Minga",,0,0
"Newbegin_AB1","A. B. Newbegin",F,0,0
"Oyen_AB","A. B. Oyen",U,0,0
"Paine_AB1","A. B. Paine",,0,0
"Patten_AB","A. B. Patton",M,0,0
"Phillips_AB1","A. B. Phillips",,0,0
"Ponsonby_AB","A. B. Ponsonby",F,0,0
"Prickett_AB1","A. B. Prickett",F,0,0
"Sabren_AB1","A. B. Sabren",,0,0
"Sebren_AB1","A. B. Sebren",,0,0
"Taylor_AB1","A. B. Taylor",,0,0
"Urner_AB1","A. B. Urner",F,1760,1803
"Windom_AB","A. B. W.",U,0,0
"Wade_AB3","A. B. Wade",,0,0
"Wade_AB2","A. B. Wade",F,0,0
"Whatley_AB1","A. B. Whatley",,0,0
"Whiting_AB1","A. B. Whiting",M,1835,1871
"Wolverton_AB","A. B. Wolverton",U,0,0
"Woolverton_AB1","A. B. Woolverton",,0,0
"Bacon_A","A. Bacon",U,0,0
"Bailey_A1","A. Bailey",,0,0
"Baird_A1","A. Baird",,0,0
"Baker_A1","A. Baker",,0,0
"Barnard_A1","A. Barnard",,0,0
"Barnes_A1","A. Barnes",,0,0
"Barrett_A1","A. Barrett",,0,0
"Baumgartner_A1","A. Baumgartner",,0,0
"Beals_A1","A. Beals",,0,0
"Beirly_A4","A. Beirly",,0,0
"Benham_A","A. Benham, Sr.",M,1754,1803
"Bennett_A","A. Bennett",M,1805,1830
"Bense_A1","A. Bense",,0,0
"Bensel_A1","A. Bensel",,0,0
"Bentze_A1","A. Bentze",,0,0
"Berens_A1","A. Berens, P.",,0,0
"Bersagel_A1","A. Bersagel",,0,0
"Bittenger_A1","A. Bittenger",,0,0
"Borreby_A1","A. Borreby",,0,0
"Bost_A","A. Bost",U,0,0
"Bottoms_A1","A. Bottoms",,0,0
"Bowling_A1","A. Bowling",,0,0
"Boyer_A1","A. Boyer",,0,0
"Breese_A1","A. Breese",,0,0
"Broaddus_A2","A. Broaddus",,0,0
"Bronce_A1","A. Bronce",,0,0
"Bronson_A1","A. Bronson",,0,0
"Everett_AB","A. Brooks Everett",M,1828,1875
"Brown_A4","A. Brown",,0,0
"Browns_A","A. Browns",U,0,0
"Little_AB1","A. Bunyan Little",,0,0
"Burckhardt_A","A. Burckhardt, 19th cent.",M,1805,1882
"Burgess_A1","A. Burgess",,0,0
"Condo_AB3","A. Byron Condo",,0,0
"ACArmstrongSon1","A. C. Armstrong & Son",U,0,0
"Atwood_AC1","A. C. Atwood",,0,0
"Bane_AC1","A. C. Bane",,0,0
"Baur_AC1","A. C. Baur",,0,0
"Benge_AC1","A. C. Benge",,0,0
"Blodgett_AC2","A. C. Blodgett",,0,0
"Blodgett_AC3","A. C. Blodgett",F,0,0
"Brogan_AC1","A. C. Brogan",,0,0
"Buschle_AC1","A. C. Buschle",,0,0
"Cann_AC1","A. C. Cann",,0,0
"ACCapertonCo1","A. C. Caperton & Co.",U,0,0
"Cidenton_AC1","A. C. Cidenton",,0,0
"Constable_AC1","A. C. Constable",,0,0
"Coxe_AC6","A. C. Coxe",,0,0
"Cross_A1","A. C. Cross",F,0,0
"Denison_AC1","A. C. Denison",,0,0
"Dixon_AC1","A. C. Dixon",,0,0
"Downer_AC1","A. C. Downer",,0,0
"Farr_AC1","A. C. Farr",,0,0
"Ferguson_AC1","A. C. Ferguson",,0,0
"Fowler_AC1","A. C. Fowler",,0,0
"Gaebelein_AC1","A. C. Gaebelein",,0,0
"Seymour_ACH1","A. C. H. Seymour",M,1789,1870
"Hess_AC1","A. C. Hess",,0,0
"Hoffman_AC1","A. C. Hoffman",,0,0
"Hulse_AC1","A. C. Hulse",,0,0
"Jewitt_AC1","A. C. Jewitt",M,0,0
"Judson_AC1","A. C. Judson",F,0,0
"Kolb_AC1","A. C. Kolb",,0,0
"A.C.L.","A. C. L.",,0,0
"L_AC","A. C. L.",U,0,0
"Botta_ACL1","A. C. L. Botta",,0,0
"Lathrop_AC1","A. C. Lathrop",,0,0
"Lee_AC1","A. C. Lee",F,0,0
