"A maiden stood","My Father's field","In my Father's field",,"E. G. Stuart",,a_maiden_stood,
"A man can kill with a knife of steel","Well, It's a New Day","Well, it's a new day",,"J. H. Miffleton",,a_man_can_kill_with_a_knife_of_steel,
"[A Man Had Been Robbed of All He Had]","A Man Had Been Robbed of All He Had",,,"Fred Pratt Green",,a_man_had_been_robbed_of_all_he_had,"<i>Partners in Creation</i> (Hope Publishing, 2003)"
"[A Man Heard God Speak Painful News]","A Man Heard God Speak Painful News",,,,8.6.8.6,a_man_heard_god_speak_painful_news,"<i>Carpenter, Why Leave the Bench</i> (Selah Publishing, 1996)"
"A man may go to heaven without",,"But he cannot go to heaven",,"C. W. Burton",,a_man_may_go_to_heaven_without,
"[A Man Named Zacchaeus]","A Man Named Zacchaeus",,,"Jack Miffleton",,a_man_named_zacchaeus,"<i>Rise Up and Sing: Young People's Music Resource</i> (Oregon Catholic Press, 2000)"
"A man of God plead for my soul","That one more chance","Just one more chance to get right",,"John A. McClung",,a_man_of_god_plead_for_my_soul,
"A man of honest thought","He has the blessing",,,"George A. McLaughlin",,a_man_of_honest_thought,
"A man of kindness to his beast is kind",,,,,,a_man_of_kindness_to_his_beast_is_kind,
"A man of subtle reasoning asked",,,,,,a_man_of_subtle_reasoning_asked,
"A man one night he asked our Lord","Ye must be born again","I do, I do, I surely do know",,"Edward Boone",,a_man_one_night_he_asked_our_lord,
"A man there came, whence none could tell","The touchstone",,,"William Allingham",,a_man_there_came_whence_none_could_tell,
"A man there is, a real Man",,,,"Joseph Hart",,a_man_there_is_a_real_man,
"A Man there lived in Galilee","A Man There Lived in Galilee",,English,"Somerset C. Lowry","8.6.8.6 D",a_man_there_lived_in_galilee,
"A man went out to plant",,,,"Lois Lenski",,a_man_went_out_to_plant,
"A man who hath a hundred sheep","There is joy in heaven",,,"C. Shelton",,a_man_who_hath_a_hundred_sheep,
"A man who's truly meek and plain",,,,,,a_man_whos_truly_meek_and_plain,
"A man whose name was Johnny Sands",,,,,,a_man_whose_name_was_johnny_sands,
"A manger, a cross, a grave",,,,"Ada R. Habershon",,a_manger_a_cross_a_grave,
"A manger, a mother, a baby so fair","The Christ story","No room in the inn for dear Savior's birth",,"George O. Webster",,a_manger_a_mother_a_baby_so_fair,
"A manger bed, a precious babe","Sweet memories","How glad my heart, when I remember these",,"Vana R. Raye",,a_manger_bed_a_precious_babe,
"A mansion above for the blessed",,"To be there",,"W. H. Crouse",,a_mansion_above_for_the_blessed,
"A mansion fair now waits for me",,"In glory land",,"James Rowe",,a_mansion_fair_now_waits_for_me,
"A mansion in glory by faith I now see",,"Home of my soul, where joy billows roll",,"W. R. Fitch",,a_mansion_in_glory_by_faith_i_now_see,
"A mansion in heaven we see",,,,,,a_mansion_in_heaven_we_see,
