["Documents","blessed","christ","day","earth","free","god","hath","heart","heaven","holy","jesus","joy","life","light","lord","love","oer","peace","rest","sin"],
["1.txt",1,0,0,2,0,6,0,0,2,1,0,1,0,1,0,1,0,1,0,1],
["10.txt",0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,2,0,0,0,0],
["11.txt",1,1,3,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1],
["12.txt",0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,3,0,0,0,1],
["13.txt",0,5,1,0,0,1,2,0,0,0,0,1,2,0,2,0,0,0,0,0],
["14.txt",0,0,0,1,1,0,0,0,0,2,0,0,0,1,1,3,0,0,0,0],
["15.txt",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0],
["16.txt",0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,5,0,0,0,0],
["17.txt",0,0,0,8,0,0,0,0,0,1,4,10,0,0,0,0,0,0,0,0],
["18.txt",0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,1,0],
["19.txt",0,1,0,0,1,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0],
["2.txt",2,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,3,0],
["20.txt",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,0,0],
["21.txt",0,0,0,1,1,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0],
["22.txt",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0],
["23.txt",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0],
["24.txt",0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0],
["25.txt",0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,3,1,0],
["26.txt",0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0],
["27.txt",0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1],
["28.txt",0,1,0,1,0,2,0,0,1,1,0,1,1,1,1,1,0,0,0,0],
["29.txt",1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0],
["3.txt",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1],
["30.txt",1,1,0,0,1,0,0,2,0,0,0,1,1,0,2,1,0,0,1,1],
["31.txt",1,3,10,0,1,3,1,1,1,0,0,1,1,2,0,4,2,1,0,2],
["4.txt",0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,1,1,0,0],
["5.txt",0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0],
["6.txt",0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,0],
["7.txt",0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,1,0,1],
["8.txt",0,0,0,0,0,2,0,1,1,2,0,0,1,0,0,1,0,0,0,0],
["9.txt",0,0,1,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0]
