1,"Late, late, so late! and dark the night and chill",,"Alfred Tennyson",,,,"late_late_so_late_and_dark_the_night_and","NCH1929","The New Christian Hymnal",1929,"Gender Neutral,Non-Archaic","1. Late, late, so late! and dark the night and chill!


Late, late, so late! but we can enter still.


Too late, too late, ye cannot enter now;


Too late, too late, ye cannot enter now.



2. No light had we; for that we do repent,


And learning this, the Bridegroom will relent.


Too late, too late, ye cannot enter now;


Too late, too late, ye cannot enter now.



3. No light, so late, and dark and chill the night,


O let us in that we may find the light.


Too late, too late, ye cannot enter now;


Too late, too late, ye cannot enter now.


"
2,"Ring out, wild bells, to the wild sky","Ring out, wild bells, to the wild sky","Alfred Tennyson",,,,"ring_out_wild_bells_to_the_wild_sky","EH1916","The Hymnal: as authorized and approved by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1916",1916,"Non-Archaic","Ring out, wild bells, to the wild sky,

The flying cloud, the frosty light:

The year is dying in the night;

Ring out, wild bells, and let him die.

Ring out the old, ring in the new,

Ring, happy bells, across the snow:

The year is going, let him go;

Ring out the false, ring in the true.

Ring out the grief that saps the mind,

For those that here we see no more;

Ring out the feud of rich and poor,

Ring in redress to all mankind.

Ring out false pride in place and blood,

The civic slander and the spite;

Ring in the love of truth and right,

Ring in the common love of good.

405

Ring out old shapes of foul disease,

Ring out the narrowing lust of gold;

Ring out the thousand wars of old,

Ring in the thousand years of peace.

Ring in the valiant man and free,

The larger heart, the kindlier hand;

Ring out the darkness of the land,

Ring in the Christ that is to be.

"
3,"Sunset and evening star","Sunset and evening star","Alfred Tennyson",,,,"sunset_and_evening_star","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral,Non-Archaic","Sunset and evening star,


And one clear call for me!


And may there be no moaning of the bar


When I put out to sea,


But such a tide as moving seems asleep,


Too full for sound and foam,


When that which drew from out the boundless deep


Turns again home.


Twilight and evening bell,


And after that the dark!


And may there be no sadness of farewell


When I embark;


For, though from out our bourne of time and place


The flood may bear me far,


I hope to see my Pilot face to face


When I have crost the bar.



Amen."
4,"Praise the Lord O ye his servants","Praise the Lord O ye his servants","Allen W. Chatfield","Unknown",,,"praise_the_lord_o_ye_his_servants","SHEG","Songs and Hymns of the Earliest Greek Christian Poets",1876,"Gender Neutral","Praise the Lord, O ye His servants,


Praise the Name of the Lord:


We praise Thee, we hymn Thee, we bless Thee


For Thy great glory.


O Lord the King, the Father of Christ, the Lamb without blemish,


Who taketh away the sin of the world,


To Thee belongeth praise, to Thee belongeth the hymn, to Thee belongeth glory,


The Father, and the Son, and the Holy Spirit,


Throughout all ages. Amen.


Now lettest Thou Thy servant depart, O Lord,


According to Thy word, in peace:


For mine eyes have seen Thy salvation,


Which Thou hast prepared before the face of all people,


A light to lighten the Gentiles, and (to be) the glory of Thy people Israel.



"
5,"Propitious Light of holy glory","Propitious Light of holy glory","Allen W. Chatfield","Unknown",,,"propitious_light_of_holy_glory","SHEG","Songs and Hymns of the Earliest Greek Christian Poets",1876,"Gender Neutral","Propitious Light of holy glory,


Of the immortal Heavenly Father,


Holy, blessed,


O Jesu Christ,


Having come to the setting of the sun,


Having seen the evening light,


We hymn the Father, the Son,


And the Holy Spirit, God.


Thou art worthy at all seasons


To be hymned with thankful voices,


O Son of God, who givest life;


Wherefore the world glorifieth Thee.



"
6,"The first Eternal Mind was law to all","The first Eternal Mind was law to all","Allen W. Chatfield","Unknown",,,"the_first_eternal_mind_was_law_to_all","SHEG","Songs and Hymns of the Earliest Greek Christian Poets",1876,"Gender Neutral","The first Eternal Mind was law to all,


And did the Universe to being call:


Next, of the First-born forth was chaos spread


And thirdly, soul on task of labour sped:


But it in vesture thin, and slight array,


O'ercome with toil, to death becomes a prey.


At one time regnant it beholds the light;


Then soon laments, cast down in piteous plight.


'Tis hazard all: now joy, now grief, befalls;


And now it dies, and now fresh life recalls.


In never-ending labyrinth of woes


It, wretched, hither now, now hither goes.


Then Jesus spake: On earth, O Father, see


How things have strayed in dire perplexity


Far from Thy Breath: how floods of evil roll,


And in base matter overwhelm the soul!


Escape it seeks from bitter woe all round,


But knows not where a passage may be found.


O Father, Me upon this errand send:


Bearing Thy seals, I will the depths descend;


Throughout whole ages I will make my way,


All mysteries of darkness turn to day;


And godlike forms I thenceforth will display:


Forth Knowledge I will call to quell all strife,


And upward show the holy paths of life.



"
7,"Thou art blessed, O Lord, who nourishest me from my youth","Thou art blessed, O Lord, who nourishest me from my youth","Allen W. Chatfield","Unknown",,,"thou_art_blessed_o_lord_who_nourishest_m","SHEG","Songs and Hymns of the Earliest Greek Christian Poets",1876,"Gender Neutral","Thou art blessed, O Lord, who nourishest me from my youth,


Who givest food to all flesh.


Fill your hearts with joy and gladness,


That at all times having all sufficiency,


We may abound to every good work


In Christ Jesus our Lord:


With whom to Thee (be) glory, honour, and might,


For ever and ever. Amen.



"
8,"Again we hail the opening morn","Again we hail the opening morn","Allen W. Chatfield","Synesius of Cyrene",,,"again_we_hail_the_opening_morn","SHEG","Songs and Hymns of the Earliest Greek Christian Poets",1876,,"Again we hail the opening morn,


Again breaks forth the day new-born,


Which, rising in victorious might,


Chases away black-wandering night!


Again, my mind, in early songs


Praise Him to whom all praise belongs;


Who gave to morning dawn the light


Who gave the glittering stars to night,


Which to their Maker and their King


Around the world in chorus sing.


For o'er prolific matter, high,


Moves ether pure in fiery sky;


Where glides the moon in glorious trim,


Cutting the last encircling rim:



For to the eighth revolving stream


The star-borne courses brightly gleam.


But now beyond the starry poles


A counter sea of glory rolls,


Unbosomed; and with dance divine


Doth the Eternal Mind enshrine,


Which covered hath with hoary wings


The palace of the King of kings.


What is beyond none may relate,


Nor mind of man can penetrate:


Eternal severance restrains,


And happy silence ever reigns.


From Root, or Spring, or Fountain one


A threefold lighted Form hath shone:


For where the Father dwells above,


There dwelleth too His own heart's love,


His glorious Son, wisdom perf&#232;ct,


And of all worlds the Architect:


And in the Unity combined


The Spirit's holy Light hath shined.


One Root of Good, one Fount of Love,


Whence sprung the bliss supreme above:


And the bright holy lamps divine


In equal glory ever shine.


And thence in this fair world of ours,


With high-born intellectual powers,


A chorus now of deathless kings


The Triune glory ever sings.


And near the Fount of Love and Truth


Angelic band in changeless youth,


Guided by holy Wisdom's mind,


Immortal wreath of beauty find.


But some with dark averted eyes


Fall mindless from the lofty skies


Downward the gloomy depths among,


And bring the higher world along;


Down, down to Matter's utmost bound,


Where, settling in the depth profound,


Nature assigns them birth and place,


A God-like, though God-fallen race.



Hence giant heroes took their birth,


The mighty conquerors of earth;


And hence Breath sown o'er all the ground


Each varying type of life hath found.


But all things to Thy counsel hold,


Things past, or present, new or old:


Whate'er we have, whate'er we share,


Of all from Thee the sources are.


The Father and the Mother Thou,


Male, female, unto Thee we bow:


Or voice be heard, or all be still,


'Tis just as ordered by Thy will.


'And Thou or Nature Thyself art,


Or Nature is Thy counterpart:


And Thou art King; and ages all


Within Thine age unmeasured fall.


May I my song aright renew,


O Thou! the Root whence all things grew!


Hail! Thou, the world's Original;


Hail! Thou, the Spring, First Cause of all.


All numbers blending into one,


The Uncreated, God alone!


All hail, all hail, Thou One Divine!


All joy, all happiness be Thine!


Bend Thou, O bend propitious ear,


And this my hymn of praises bear,


Speed on true Wisdom's opening day,


Pour blessings down in rich array:


Yea, grace-distilling streams pour down,


That I may win contentment's crown


In life's sweet calm; the happy mean


Give me, riches and want between.


Off from my limbs diseases ward,


My soul from stormy passions guard:


Let no dark thoughts my steps attend:


My life from biting cares defend;


Lest, mind, borne down by earthly ill,


To soar should find nor time nor will.


But grant me with free wing to rise,


And join the chorus of the skies,


And there with Thine for ever sing


The glories of my God and King!



"
9,"Awake, our lute, the child to sing","Awake, our lute, the child to sing","Allen W. Chatfield","Synesius of Cyrene",,,"awake_our_lute_the_child_to_sing","SHEG","Songs and Hymns of the Earliest Greek Christian Poets",1876,,"Awake, our lute, the child to sing


Of bride unwedded, holy maid;


True Son of the Eternal King,


Ere earth's foundations yet were laid.



Ineffable Thy counsels, Lord,


Father of all, by which was born


The Christ! a virgin's throes afford


The Light of Life to world forlorn!



A Man! and yet of ages gone,


And of all ages yet to come,


Throughout eternity, the One


Upholder, Perfecter, and Sum.



Thyself, O Christ, art Fount of Light,


Light of the Father's Light, bright Ray!


Dark matter thou didst burst; and night


To holy souls Thou turn'st to day.



Yea! Founder of the world Thou art,


And moulder of each starry sphere:


To earth her spurs Thou dost impart;


While men hail Thee their Saviour dear.



For Thee his chariot Titan drives,


The quenchless fount of morning light.


From Thee the bull-faced moon derives


Her power to loose the gloom of night.



By Thee the year with fruit is crowned:


By Thee the flocks and herds are fed:


Productive Thou dost make the ground;


And to the poor Thou givest bread.



For Thou from Thine o'erflowing store


Of grace ineffable and love,


O'er surface of all worlds dost pour


The fertile sunshine from above.



And from Thy bosom forth did spring


To life both light, and mind, and soul:


O pity then Thine own offspring


Imprisoned under hard control,



By mortal limbs, by flesh and blood,


Coerced, and measures stern of fate:


O save Thine own, Thou great and good,


Nor let sick mind sick body hate!



Persuasion to my words nod Thou,


And to my deeds such honest fame,


That truth I never disavow,


Nor Sparta nor Cyrene shame!



But may my soul, unbowed by grief,


Draw all her nourishment from Thee,


Stretching both eyes, in calm relief,


Up to Thy light, from sorrow free!



That, cleansed from dregs of worldly soil,


I may by straight course upward mount,


And 'scaping from earth's care and toil,


Be mingled with the soul's own fount!



Life such of pure content and praise,


Do Thou to Thy poor harper grant,


While still to Thee the hymn I raise,


And glory to the Father chant,



And Spirit, mid-enthroned compeer,


The Parent Root and Branch between!


Be such on earth my bright career,


Nor sin nor sorrow intervene;



Until, within the courts above,


The travail of my soul shall cease,


Still singing hymns of heavenly love


In glory and in perfect peace.



Thee, Thee, the Fount of love, we bless,


O Father, rock and strength of Thine;


And Thee alike, His form express,


And seal, all beauty, Son Divine;



And Holy Breath, of both the crown,


Whose quickening gifts like billows roll:


Thou with the Father, send Him down


To cheer and fertilize my soul!



"
10,"I first invented in Thy praise","I first invented in Thy praise","Allen W. Chatfield","Synesius of Cyrene",,,"i_first_invented_in_thy_praise","SHEG","Songs and Hymns of the Earliest Greek Christian Poets",1876,"Gender Neutral","I first invented in Thy praise,


O Bless&#232;d, these new metric lays.


Immortal Thou! of virgin mild


The holy ever glorious Child:


Hope of the world, salvation's stem,


O Jesus of Jerusalem!


To Thee I raise the song on high;


To Thee my harp-strings joyful ply.


O show me favour, heavenly King!


Accept the music which I bring


Of holy melodies; for Thou


Art He to whom my soul doth bow,



God over all, God's mighty Son,


The ever blest Immortal One!


The Eternal Father gave Thee birth;


Birth Thou hast given to heaven and earth.


All worlds are Thine; all nature Thine;


And wisdom infinite, divine.


In heaven, as God, Thy fame is spread;


Below, as mingled with the dead.


But when the bless&#232;d day had shone


That Thou shouldst mortal flesh put on


Of virgin mother, then the star,


Seen by the magi from afar


In eastern clime, perplexed their mind


And varied skill; nor could they find


Or who, or what, the child might be,


Or what the hidden deity;


No answer could their wisdom bring;


Or God, or doomed to die, or king.


'Tis well! meet be your offerings:


Bring myrrh for death's last sufferings:


Bring royal presents of fine gold;


And gifts of frankincense unfold.


My God! here frankincense behold!


My King! deign to receive the gold!



And O! Thou Saviour born to die,


Myrrh, for Thy tomb let me supply!


And cleans&#232;d was the earth by Thee,


And cleans&#232;d were the waves of sea;


And all the paths which upward bear,


In slender element of air;


And dark recesses underground,


In succour to the dead there bound,


By Thee, great Conqueror, were trod;


And Hades stood aghast at God.


But O! propitious be, great King!


Smile on the tribute which I bring


Of tuneful songs and measured lays


Design&#232;d for Thy holy praise.



"
