1,"Around the throne of God in heaven","Around the Throne of God in Heaven","Anne H. Shepherd",,,,"around_the_throne_of_god_in_heaven_thous","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral,Non-Archaic","1 Around the throne of God in heaven


Thousands of children stand,


Children whose sins are all forgiven,


A holy, happy band,


Singing, 'Glory, glory,


Glory be to God on high.'



2 In flowing robes of spotless white


See every one arrayed;


Dwelling in everlasting light


And joys that never fade, 


Singing, 'Glory, glory,


Glory be to God on high.'



3 What brought them to that world above,


That heaven so bright and fair,


Where all is peace, and joy, and love;


How came those children there, 


Singing, 'Glory, glory,


Glory be to God on high?'



4 Because the Saviour shed His blood


To wash away their sin;


Bathed in that pure and precious flood,


Behold them white and clean, 


Singing, 'Glory, glory,


Glory be to God on high.'



5 On earth they sought the Saviour's grace,


On earth they loved His Name;


So now they see His blessed face,


And stand before the Lamb, 


Singing, 'Glory, glory,


Glory be to God on high.'



Amen."
2,"Thou sore-oppress'd","Thou sore-oppress'd","Catherine Winkworth","Viktor Strauss",,,"thou_sore_oppressed_the_sabbath_rest","CBE","Chorale Book for England, The",1863,"Gender Neutral","Thou sore-oppress'd,


The Sabbath rest


In yon still grave art keeping!


All thy labour now is done,


Past is all Thy weeping!



The strife is o'er,


Nought hurts Thee more,


The heart at last hath slumber'd,


That in conflict sore for us


Bore our sins unnumber'd.



Thou awful tomb,


Once fill'd with gloom!


How blessed and how holy


Art thou now, since in the grave


Slept the Saviour lowly!



How calm and blest


The dead now rest


Who in the Lord departed!


All their works do follow them,


Yes, they sleep glad-hearted.



O lead us Thou


To rest e'en now,


With all who, sorely anguish'd


'Neath the burden of their sins,


Long in woe have languish'd.



O Blessed Rock!


Soon grant Thy flock


To see Thy Sabbath morning!


Strife and pain will all be past


When that day is dawning.



"
3,"Ah Jesus, the merit","Ah Jesus, the merit","Catherine Winkworth","Layritz",,,"ah_jesus_the_merit","CBE","Chorale Book for England, The",1863,"Gender Neutral","Ah Jesus, the merit


Of all that Thou hast borne


Maketh me inherit


The crown that hath no thorn!



Ah then, teach me duly


To worship at Thy crossv


Owning inly, truly,


The Love that bore our loss.



To sin, there, oh let me


From henceforth daily die;


Nor in death forget me,


Then grant me life on high.



"
4,"The precious seed of weeping","The precious seed of weeping","Catherine Winkworth","Karl Johann Philipp Spitta",,,"the_precious_seed_of_weeping","CBE","Chorale Book for England, The",1863,,"The precious seed of weeping


Today we sow once more,


The form of one now sleeping,


Whose pilgrimage is o'er.


Ah! death but safely lands him


Where we too would attain;


Our Father's voice demands him,


And death to him is gain.



He has what we are wanting,


He sees what we believes,


The sins on earth so haunting


Have there no power to grieve;


Safe in His Saviour's keepings


Who sent him calm release,--


'Tis only we are weeping,


He dwells in perfect peace.



The crown of life he weareth.


He bears the shining palm,


The 'Holy, holy,' heareth,


And joins the angels' psalm;


But we poor pilgrims wander


Still through this land of woe,


Till we shall meet him yonder,


And all his joy shall know.



"
5,"Of all the thoughts of God that are",,"Elizabeth Barrett Browning",,,,"of_all_the_thoughts_of_god_that_are","BHPPD866","A Book of Hymns for Public and Private Devotion (15th ed.)",1866,"Non-Archaic","Of all the thoughts of God, that are

Borne in upon our souls afar

Along the Psalmist's music deep,

O, tell me if there any is,

For gift or grace, surpassing this,&#8212;

&#8220;He giveth His beloved sleep.&#8221;

O earth, so full of dreary noises!

O men, with wailing in your voices!

O delved gold, the wailers' heap!

O strife, O curse, that o'er it fall!

God makes a silence through you all,&#8212;

He giveth His beloved sleep.

His dews drop mutely on the hill,

His cloud above it saileth still,

Though on its slope men toil and reap;

More softly than the dew is shed,

Or cloud is floated overhead,

He giveth His beloved sleep.

"
6,"O land of rest, for thee I sigh!","We'll Work Till Jesus Comes","Elizabeth Mills",,,,"o_land_of_rest_for_thee_i_sigh","FHOP","Favorite Hymns of Praise",1967,"Gender Neutral","1 O land of rest, for thee I sigh!


When will the moment come


When I shall lay my armor by,


And dwell in peace at home?



Chorus:


We'll work till Jesus comes,


We'll work till Jesus comes;


We'll work till Jesus comes,


And we'll be gathered home.



2 To Jesus Christ I fled for rest;


He bade me cease to roam,


And lean for comfort on His breast


Till He conduct me home. (Chorus)



3 I sought at once my Savior's side,


No more my steps to roam;


With Him I'll brave death's chilling tide,


And reach my heav'nly home. (Chorus)"
7,"Cheek grow pale, but heart be vigorous",,"Frederica Bremer",,,,"cheek_grow_pale_but_heart_be_vigorous","BHPPD866","A Book of Hymns for Public and Private Devotion (15th ed.)",1866,"Gender Neutral","Cheek grow pale, but heart be vigorous!

Body fall, but soul have peace!

Welcome, pain! thou searcher rigorous!

Slay me, but my faith increase.

Sin, o'er sense so softly stealing;

Doubt, that would my strength impair;

Hence at once from life and feeling!&#8212;

Now my cross I gladly bear.

Up, my soul! with clear sedateness

Read heaven's law, writ bright and broad,

Up! a sacrifice to greatness,

Truth, and goodness,&#8212;up to God!

Up to labor! from thee shaking

Off the bonds of sloth, be brave!

Give thyself to prayer and waking;

Toil some fainting heart to save!

"
8,"I thirst, O, grant the waters pure",,"Frederica Bremer",,,,"i_thirst_o_grant_the_waters_pure","BHPPD866","A Book of Hymns for Public and Private Devotion (15th ed.)",1866,"Gender Neutral","I thirst!&#8212;O, grant the waters pure

Which they who drink shall thirst no more;

O give me of that living stream,

Which ever flows, with heavenly gleam,

Forth from the presence of our God,

Through fields by holy angels trod!

I thirst!&#8212;O bounteous Source of Truth,

Give coolness to my fevered youth;

Make the sick heart more strong and wise;

Take spectral visions from mine eyes;

O, let me quench my thirst in Thee,

And pure, and strong, and holy be!

I thirst!&#8212;O God, great Source of Love!

Infinite Life streams from above.

O, give one drop, and let me live!

The barren world has naught to give;

No solace have its streams for me;

I thirst alone for heaven and Thee.

"
9,"Lord Jesus, come; for here",,"Harriet Martineau",,,,"lord_jesus_come_for_here","BHPPD866","A Book of Hymns for Public and Private Devotion (15th ed.)",1866,,"Lord Jesus, come! for here

Our path through wilds is laid;

We watch, as for the dayspring near,

Amid the breaking shade.

Lord Jesus, come! for hosts

Meet on the battle-plain;

Our holiest hopes seem vainest boasts,

And tears are shed like rain.

Lord Jesus, come! the slave

Still bears his heavy chains;

Their daily bread the hungry crave,

While teem the fruitful plains.

Hark! herald voices near

Lead on thy happier day;

Come, Lord, and our hosannas hear!

We wait to strew thy way.

Come, as in days of old,

With words of grace and power;

Gather us all within thy fold,

And let us stray no more!

"
10,"Sweet is the prayer, whose holy stream",,"Harriet Martineau",,,,"sweet_is_the_prayer_whose_holy_stream","BHPPD866","A Book of Hymns for Public and Private Devotion (15th ed.)",1866,"Gender Neutral","Sweet is the prayer whose holy stream

In earnest pleading flows;

Devotion dwells upon the theme,

And warm and warmer glows.

Faith grasps the blessing she desires,

Hope points the upward gaze;

And love, untrembling love, inspires

The eloquence of praise.

But sweeter far the still, small voice,

Heard by no human ear,

When God hath made the heart rejoice,

And dried the bitter tear.

Nor accents flow, nor words ascend;

All utterance faileth there;

But listening spirits comprehend,

And God accepts the prayer.

"
