hymnalID,hymnalTitle,editors,publisher,publicationPlace,publicationDate,denominations,tags
26SS1889,"26 Scripture Songs","C. H. Gabriel","C. H. Gabriel","San Francisco, Calif.",1889,,
349L1876,"349 Lieder fuer Schule und Haus in den Vereinigsten Staaten","C. F. Doehring; A. Wiebusch und Sohn","A. Wiebusch und Sohn","St Louis, Mo.",1876,,
52HH1880,"52 Hymns of the Heart: with an appendix of favorite solos and choruses (Missionary and Church Extension Ed.)","C. C. McCabe; John J. Hood","John J. Hood",Philadelphia,1885,,
BHBD1844,"A Baptist Hymn Book, Designed Especially for the Regular Baptist Church and All Lovers of Truth","Wilson Thompson; D. H. Goble","D. H. Goble","Greenfield, Ind.",1844,"Baptist hymnals (general)",
BHTS1860,"A Book of Hymns and Tunes: for the Sunday-School, the Congregation and Home: 2nd ed.","Samuel Longfellow","Walker, Wise & Company",Boston,1860,"Unitarian churches","Has Music"
BHPP1857,"A Book of Hymns for Public and Private Devotion. (10th ed.)","Samuel Longfellow; Ticknor & Fields","Ticknor & Fields","Boston, Mass.",1848,"Unitarian churches",
BHPPD866,"A Book of Hymns for Public and Private Devotion (15th ed.)",,"Ticknor and Fields",Boston,1866,"Unitarians and Universalists",
BTBS1946,"A Book of Treasures, a Book of Sacred Songs and Choruses","Edward W. Calloway",,"Cincinnati, Oh.",1946,,
BWUE1883,"A Book of Worship for the Use of the Evangelical Lutheran Church ... of the Church of the Redeemer, Richmond, Virginia","W. C. Schaeffer; Christian at Home Pub. Co.","Christian at Home Pub. Co.","Richmond, Va.",1883,"Evangelical Lutheran Church in the South, 1861-",
CoH1961,"A Calendar of Hymns","Frederic Fox; Doubleday & Co.","Doubleday & Co.","New York, N.Y.",1961,,
CS1958,"A Child Sings","M. Pooler; Augsburg",Augsburg,"Minneapolis, Minn.",1958,"Augustana Evangelical Lutheran Church",
CBoA1955,"A Child's Book of Anthems","E. M. A. Fuller; Theodore Presser Co.","Theodore Presser Co.","Bryn Mawr, Penn.",1955,,
CBoH1945,"A Child's Book of Hymns","M. E. Wyckoff; Random House","Random House","New York, N.Y.",1945,,
CGoS1949,"A Child's Garden of Song","T. G. W. Stelzer; Concordia Publishing House","Concordia Publishing House","St. Louis, Mo.",1949,,
CCHS1831,"A Choice Collection of Hymns, and Spiritual Songs, designed for the devotions of Israel, in prayer, conference, and camp-meetings...(2nd ed.)","Hoag & Atwood","Hoag & Atwood","Concord, N.H.",1831,,
CCHS1774,"A Choice Collection of Hymns and Spiritual Songs Intended for the          Edification of Sincere Christians of All Denominations","T. Green","T. Green","New London, Conn.",1774,,
CSEH1806,"A Choice Selection of Evangelical Hymns, from various authors: for the use of the English Evangelical Lutheran Church in New York","Ralph Williston; J. C. Totten","J. C. Totten","New York",1806,"Evangelical Lutheran Ministerium of the State of New York and Adjacent States an",
