firstLine,textTitle,refrainFirstLine,languages,authors,meter,textAuthNumber,textSources
"[1 Peter 2:21-24]","1 Peter 2:21-24",,,,,1_peter_22124,"<i>Worship (GIA)</i> (G.I.A. Publications, Inc., 1986)"
"[1 Timothy 3:16]","1 Timothy 3:16",,,,,1_timothy_316,"<i>Worship (GIA)</i> (G.I.A. Publications, Inc., 1986)"
"A, a, a, der Winter der ist da","Winters ankunst",,German,,,a_a_a_der_winter_der_ist_da,
"A Aonmhic na h'Óighe, a stór, is a sciath na mbocht",,,,,,a_aonmhic_na_highe_a_str_is_a_sciath_na_,
"A b c d e f g h i j k l m n","Alphabet No. 1",,,,,a_b_c_d_e_f_g_h_i_j_k_l_m_n,
"A b c d e f g h i j k l m n o P","Alphabet No. 2",,,,,a_b_c_d_e_f_g_h_i_j_k_l_m_n_o_p,
"A Babe [Boy] is born in Bethlehem",,,,"J. C. Aaberg; Nikolai F. S. Grundtvig",,a_babe_is_born_in_bethlehem,
"A Babe in a manger, a man on the cross","God's gift to the world",,,"O. O. Arnold",,a_babe_in_a_manger_a_man_on_the_cross,
"[A Babe Is Born]","A Babe Is Born",,,"Gracia Grindal",,a_babe_is_born,"<i>New Songs of Rejoicing</i> (Selah Publishing Co, 1994)"
"A Babe is born all of a maid",,,,,,a_babe_is_born_all_of_a_maid,
"A babe lies in the cradle",,,,"Paul England (c. 1863-1932)",7.6.7.6.6,a_babe_lies_in_the_cradle,"<I>Schöne christenlichen catholisch weihnächt-oder kindtlessweigen Gesäng</i> (1590)"
"A Babe was born at Bethlehem",,"And Christmas bells are ringing",,"George N. Rockwell",,a_babe_was_born_at_bethlehem,
"A Baby once slept in a manger","The Little Lord Jesus","Jesus, Jesus, born this blessed morning",,"Lavinia E. Brauff",,a_baby_once_slept_in_a_manger,
"A baby was sleeping, it's mother","The angels' whisper",,,,,a_baby_was_sleeping_its_mother,
"A Baby's hands in Bethlehem",,,,"L. S. Clark",,a_babys_hands_in_bethlehem,
"A balm for the way worn",,"Since Jesus has taken my load",,"H. L. Frisbie",,a_balm_for_the_way_worn,
"A band of children free we",,"Together then we'll sing",,"William Cushing",,a_band_of_children_free_we,
"A band of children, Jesus",,,,"S. L. Cuthbert",,a_band_of_children_jesus,
"A band of children, Lord, we come",,"Sabbath praises, Lord, we bring",,"K. Williams",,a_band_of_children_lord_we_come,
"A band of dear children go marching along",,,,"Edward A. Barnes",,a_band_of_dear_children_go_marching_alon,
"A band of faithful reapers, we",,"To the harvest field away",,"Charles Hutchinson Gabriel",,a_band_of_faithful_reapers_we,
"A band of happy children, The","Children's hosanna","Hosanna, hosanna, hosanna",,"Aldine S. Kieffer",,a_band_of_happy_children_the,
"A band of happy children, we come to you today","Happy Loveland","O bright and happy Loveland, O bright and happy place",,"S. C. Kirk",,a_band_of_happy_children_we_come_to_you_,
"A band of hard pressed men are we",,,,"Edwin Gilbert",,a_band_of_hard_pressed_men_are_we,
"A band of herdsmen tarried late","A band of herdsmen tarried late",,,,8.8.8.8.8.8,a_band_of_herdsmen_tarried_late,
"A band of humble workers","Song of the little workers",,,"Jesse Clement",,a_band_of_humble_workers,
"A band of laborers, here we meet",,,,,,a_band_of_laborers_here_we_meet,
"A band of little children",,"O happy, happy Christmas",,"J. M. Hunter",,a_band_of_little_children,
"A band of shining angels waits you over there",,"The angels wait within the gates",,"W. E. Bayles",,a_band_of_shining_angels_waits_you_over_,
"A band of temperance boys are we","The Boys' Brigade","Boys of a royal army we",,"S. C. Kirk",,a_band_of_temperance_boys_are_we,
"A band of true and valiant soldiers",,"Onward, forward, we will take the world",,"Charles Hutchinson Gabriel",,a_band_of_true_and_valiant_soldiers,
"A band of women, true and brave",,"The mighty stone is rolled away",,"George C. Needham",,a_band_of_women_true_and_brave,
"A band of youthful pilgrims, we stand",,,,,,a_band_of_youthful_pilgrims_we_stand,
"A band of youthful soldiers, to battle for the right","Marching to Victory","Forward, hear the battle cry",,"Fannie E. Cooke",,a_band_of_youthful_soldiers_to_battle_fo,
"A battle for right is now raging","Saloons must go","Arouse and be ready for orders",,"Wm. Crowhurst",,a_battle_for_right_is_now_raging,
"A battle rages o'er the land","Throw the filthy cup away",,,"William M. Ramsey",,a_battle_rages_oer_the_land,
"A beacon bright the Christian stands","Look to the lighthouse","Look, look, look to the lighthouse, sailor",,"E. W. Chapman",,a_beacon_bright_the_christian_stands,
"A beacon has been lighted","Temperance victorious",,,,,a_beacon_has_been_lighted,
"A beacon has been lighted, Bright as the noon-day sun",,,,,,a_beacon_has_been_lighted_bright_as_the_,
"A beacon light has been lighted",,,,,,a_beacon_light_has_been_lighted,
"A beam from heaven is sent",,,,"William Hiley Bathurst",,a_beam_from_heaven_is_sent,
"A beautiful, beautiful home, In heaven we all","Beautiful, beautiful home",,,"J. B. Coats",,a_beautiful_beautiful_home_in_heaven_we_,
"A beautiful breeze and cloudless sky",,,,,,a_beautiful_breeze_and_cloudless_sky,
"A beautiful city is waiting",,"Beautiful city, mine eyes shall",,"Alma White",,a_beautiful_city_is_waiting,
"A beautiful crown the Master shall give","The beautiful crown","O, for that beautiful crown",,"E. W. Eiland",,a_beautiful_crown_the_master_shall_give,
"A beautiful home beyond the tide,","The happy throng","We will join that happy throng",,"R. M. McIntosh",,a_beautiful_home_beyond_the_tide,
"A beautiful home by faith I can see","Pilgrim's rest","There'll be no more parting from those that we love",,"R. A. Glenn",,a_beautiful_home_by_faith_i_can_see,
"A beautiful home, what joy to behold","Beautiful home","O beautiful home, bright home of the blest",,"James C. Moore",,a_beautiful_home_what_joy_to_behold,
"A beautiful land by faith I see",,"Will you go? will you go?",,,,a_beautiful_land_by_faith_i_see,
"A beautiful land of joy I see",,,,,,a_beautiful_land_of_joy_i_see,
"A beautiful land of light I see",,"Will you go, will you go, will you go to that beautiful land",,"Jonathan Hall",,a_beautiful_land_of_light_i_see,
"A beautiful life, a beautiful",,,,"Luther G. Presley",,a_beautiful_life_a_beautiful,
"A beautiful mansion by faith we can see","Golden gates","O, beautiful golden gates",,"James C. Moore",,a_beautiful_mansion_by_faith_we_can_see,
"A beautiful mansion in heaven above",,"My beautiful home",,"P. P. Orr",,a_beautiful_mansion_in_heaven_above,
"A beautiful rest waits over the river","Rest over the river","A wonderful rest",,"I. K. Gosnell",,a_beautiful_rest_waits_over_the_river,
"A beautiful sprite","The frost",,,"L. M. Bateman",,a_beautiful_sprite,
"A beautiful Star of purest light",,"Shining still, beautiful Bethlehem morning",,"Fanny J. Crosby",,a_beautiful_star_of_purest_light,
"A beautiful star there rose one night",,"'Tis shining still, 'tis shining still",,"Franklin E. Belden",,a_beautiful_star_there_rose_one_night,
"A beautiful story in God's book","The master welcomes the children","The Master still welcomes",,"Jennie Wilson",,a_beautiful_story_in_gods_book,
"A beautiful story I've heard",,"Free, free the mercy",,"Orlando S. Grinnell",,a_beautiful_story_ive_heard,
"A beautiful story to you I would tell",,,,"O. L. Tharp",,a_beautiful_story_to_you_i_would_tell,
"A beautiful stream is the river of life","Wonderful stream","O, beautiful stream",,,,a_beautiful_stream_is_the_river_of_life,
"A beautiful thought inhabits","Beautiful thought","O, beautiful thought",,,,a_beautiful_thought_inhabits,
"A beggar blind sat by the way",,"Jesus, have mercy on me",,"Peter P. Bilhorn",,a_beggar_blind_sat_by_the_way,
"A beggar blind, the truth I learned","When Jesus came our way","Poor sinners, we had waited long",,"H. B. Townsend",,a_beggar_blind_the_truth_i_learned,
"A beggar by the highway side",,"Thou Son of David, pity me",,,,a_beggar_by_the_highway_side,
"[A Beggar-King Comes Riding]","A Beggar-King Comes Riding",,,"Herman G Stuempfle",,a_beggarking_comes_riding,"<i>Awake Our Hearts to Praise</i> (GIA Publications, 2000)"
"A beggar poor, at mercy's door",,,,,,a_beggar_poor_at_mercys_door,
"A beggar poor had lost his eyes",,,,,,a_beggar_poor_had_lost_his_eyes,
"A beggar sat by the great highway","When Jesus is passing by","Jesus is passing by",,"Gertrude Manly Jones",,a_beggar_sat_by_the_great_highway,
"A bekesseg tanacsanak: A bunosok valtsaganak",,,,,,a_bekesseg_tanacsanak_a_bunosok_valtsaga,
"A believer, free from care","The Trembling Gaoler",,English,"John Newton",,a_believer_free_from_care,
"A berth Iesu ar y pren, roes foddlonrwydd",,,,,,a_berth_iesu_ar_y_pren_roes_foddlonrwydd,
"A better day is coming",,,,"Jennie Stout",,a_better_day_is_coming,
"A better day is coming, A morning bright",,"Coming by and by",,"Charles Bentley",,a_better_day_is_coming_a_morning_bright,
"A better day is coming, A morning promised long",,"Coming by and by, coming by and by",,"Robert Lowry",,a_better_day_is_coming_a_morning_promise,
"A better day is coming, is coming by and by",,"Coming by and by, coming by and by",,"Charles W. Collinge",,a_better_day_is_coming_is_coming_by_and_,
"A better day is nigh","O, day supreme","Roll on, O happy time",,"James Rowe",,a_better_day_is_nigh,
"A better home awaits me there When done with earth and",,,,"J. A. Lee",,a_better_home_awaits_me_there_when_done_,
"A better land, dear Lord for this",,,,"Imogene Humphrey",,a_better_land_dear_lord_for_this,
"A better time will soon appear","The safest drink","Then away, away from beer and wine",,,,a_better_time_will_soon_appear,
"A better time would soon appear","The safest drink","Turn away",,,,a_better_time_would_soon_appear,
"A Bible Christian I will be",,"The Bible's good enough for me",,"A. M. K. Deidrick",,a_bible_christian_i_will_be,
"A bird, a lovely butterfly","A bird, a lovely butterfly",,,"Florence Pedigo Jansson",,a_bird_a_lovely_butterfly,
