pk_text,firstLine,textTitle,refrainFirstLine,languages,authors_1,authors_2,authors_3,authors_4,meter,textAuthNumber,textSources
1,"Ring out, wild bells, to the wild sky","Ring out, wild bells, to the wild sky","",,"Alfred Tennyson","",,,8.8.8.8,ring_out_wild_bells_to_the_wild_sky,""
2,"Sunset and evening star","Sunset and evening star","",,"Alfred Tennyson","",,,Irregular,sunset_and_evening_star,""
3,"Thy voice is on the rolling air","Far off, but nigh","",,"Alfred Tennyson","",,,,thy_voice_is_on_the_rolling_air,""
4,"'D oes arnaf eisieu yn y byd","","",,"Alfred Tennyson","",,,,d_oes_arnaf_eisieu_yn_y_byd,""
5,"Deep on the convent roof the snows","","",,"Alfred Tennyson","",,,,deep_on_the_convent_roof_the_snows,""
6,"Do we indeed desire the dead","","",,"Alfred Tennyson","",,,,do_we_indeed_desire_the_dead,""
7,"How pure in [at] heart and sound in head","","",,"Alfred Tennyson","",,,,how_pure_in_at_heart_and_sound_in_head,""
8,"I am a part of all that I have met","","",,"Alfred Tennyson","",,,,i_am_a_part_of_all_that_i_have_met,""
9,"I found him not in world or sun","","",,"Alfred Tennyson","",,,,i_found_him_not_in_world_or_sun,""
10,"Late, late, so late! and dark the night and chill","","",,"Alfred Tennyson","",,,,late_late_so_late_and_dark_the_night_and,""
11,"Love is and was my Lord and King","","",,"Alfred Tennyson","",,,,love_is_and_was_my_lord_and_king,""
12,"Not in vain the distance beacons","","",,"Alfred Tennyson","",,,,not_in_vain_the_distance_beacons,""
13,"O living Will, that shalt endure","","",,"Alfred Tennyson","",,,,o_living_will_that_shalt_endure,""
14,"O yet we trust that somehow good","","",,"Alfred Tennyson","",,,,o_yet_we_trust_that_somehow_good,""
15,"O young mariner, you from the haven","","",,"Alfred Tennyson","",,,,o_young_mariner_you_from_the_haven,""
16,"Perplext in faith, but pure","","",,"Alfred Tennyson","",,,,perplext_in_faith_but_pure,""
17,"Ring out a slowly dying cause","","",,"Alfred Tennyson","",,,,ring_out_a_slowly_dying_cause,""
18,"Ring out the grief that saps the mind, For those","","",,"Alfred Tennyson","",,,,ring_out_the_grief_that_saps_the_mind_fo,""
19,"Sleep sweetly, tender heart","","",,"Alfred Tennyson","",,,,sleep_sweetly_tender_heart,""
20,"Sweet and low, sweet and low, wind of the western sea","","",,"Alfred Tennyson","",,,,sweet_and_low_sweet_and_low_wind_of_the_,""
21,"The time draws near the birth of Christ","","",,"Alfred Tennyson","",,,,the_time_draws_near_the_birth_of_christ,""
22,"The wish that of the living whole","","",,"Alfred Tennyson","",,,,the_wish_that_of_the_living_whole,""
23,"What does little birdie say","","",,"Alfred Tennyson","",,,,what_does_little_birdie_say,""
24,"Whatever crazy sorrow saith","","",,"Alfred Tennyson","",,,,whatever_crazy_sorrow_saith,""
25,"You say, but with no touch of scorn","","",,"Alfred Tennyson","",,,,you_say_but_with_no_touch_of_scorn,""
26,"Around the throne of God in heaven","Around the Throne of God in Heaven","singing 'Glory, glory, glory be to God on high'",English,"Anne H. Shepherd","",,,8.6.8.6 with refrain,around_the_throne_of_god_in_heaven_thous,""
27,"It is finished! glorious word","","",,"Bulfinch","",,,,it_is_finished_glorious_word,""
28,"Now we bring our Christmas treasures","","",,"Maria H. Bulfinch","",,,,now_we_bring_our_christmas_treasures,""
29,"Children of light awake","","",,"Sir Edward Denny","Stephen Greenleaf Bulfinch",,,,children_of_light_awake,""
30,"Benignant Savior, 'twas not thine","","",,"Stephen Greenleaf Bulfinch","",,,,benignant_savior_twas_not_thine,""
31,"Burden of shame and woe","","",,"Stephen Greenleaf Bulfinch","",,,,burden_of_shame_and_woe,""
32,"Father, when o'er our trembling hearts","","",,"Stephen Greenleaf Bulfinch","",,,,father_when_oer_our_trembling_hearts,""
33,"Glory to God, the Lord, the Righteous","","",,"Stephen Greenleaf Bulfinch","",,,,glory_to_god_the_lord_the_righteous,""
34,"Hail to the blessed day","","",,"Stephen Greenleaf Bulfinch","",,,,hail_to_the_blessed_day,""
35,"Hail to the Sabbath day","","",,"Stephen Greenleaf Bulfinch","",,,,hail_to_the_sabbath_day,""
36,"Hail to this holy day","","",,"Stephen Greenleaf Bulfinch","",,,,hail_to_this_holy_day,""
37,"Hath not thy heart within thee burned","","",,"Stephen Greenleaf Bulfinch","",,,,hath_not_thy_heart_within_thee_burned,""
38,"Holy Son of God, most high","","",,"Stephen Greenleaf Bulfinch","",,,,holy_son_of_god_most_high,""
39,"Honor then to wear thy crown","No cross, no crown","Sing his praises",,"Stephen Greenleaf Bulfinch","",,,,honor_then_to_wear_thy_crown,""
40,"Honored they who firmly stand While the conflict presses round","","",,"Stephen Greenleaf Bulfinch","",,,,honored_they_who_firmly_stand_while_the_,""
41,"How glorious is the hour","","",,"Stephen Greenleaf Bulfinch","",,,,how_glorious_is_the_hour,""
42,"In the Savior's hour of death","","",,"Stephen Greenleaf Bulfinch","",,,,in_the_saviors_hour_of_death,""
43,"Lord, in this sacred hour","","",,"Stephen Greenleaf Bulfinch","",,,,lord_in_this_sacred_hour,""
44,"Lord, in whose might the Savior trod","","",,"Stephen Greenleaf Bulfinch","",,,,lord_in_whose_might_the_savior_trod,""
45,"Lord, thou art not alone","","",,"Stephen Greenleaf Bulfinch","",,,,lord_thou_art_not_alone,""
46,"Most gracious Savior, 'twas not thine","","",,"Stephen Greenleaf Bulfinch","",,,,most_gracious_savior_twas_not_thine,""
47,"O, darkly on the path of life","","",,"Stephen Greenleaf Bulfinch","",,,,o_darkly_on_the_path_of_life,""
48,"O Lord, through Thee we own","","",,"Stephen Greenleaf Bulfinch","",,,,o_lord_through_thee_we_own,""
49,"O not alone on the mount of prayer","","",,"Stephen Greenleaf Bulfinch","",,,,o_not_alone_on_the_mount_of_prayer,""
50,"O suffering Friend of human kind","","",,"Stephen Greenleaf Bulfinch","",,,,o_suffering_friend_of_human_kind,""
51,"Our life is but a span","","",,"Stephen Greenleaf Bulfinch","",,,,our_life_is_but_a_span,""
52,"Take, and eat, the Savior said","","",,"Stephen Greenleaf Bulfinch","",,,,take_and_eat_the_savior_said,""
53,"The Aged sufferer waited long","","",,"Stephen Greenleaf Bulfinch","",,,,the_aged_sufferer_waited_long,""
54,"There's a strife we all must wage","","",,"Stephen Greenleaf Bulfinch","",,,,theres_a_strife_we_all_must_wage,""
55,"Through thee, O Lord, we own","","",,"Stephen Greenleaf Bulfinch","",,,,through_thee_o_lord_we_own,""
56,"Toiling through the livelong night","","",,"Stephen Greenleaf Bulfinch","",,,,toiling_through_the_livelong_night,""
57,"'Twas not in vain that Jesus prayed","","",,"Stephen Greenleaf Bulfinch","",,,,twas_not_in_vain_that_jesus_prayed,""
58,"Was it in vain that Jesus prayed","","",,"Stephen Greenleaf Bulfinch","",,,,was_it_in_vain_that_jesus_prayed,""
59,"We gather to the sacred board","","",,"Stephen Greenleaf Bulfinch","",,,,we_gather_to_the_sacred_board,""
60,"Where the dark sea of Egypt throws","Akabah","",,"Stephen Greenleaf Bulfinch","",,,,where_the_dark_sea_of_egypt_throws,""
